date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,13.0,12.0,14.0,0.0,-1.0
2024-05-27,-1.0,1.0,-1.0,1.0,0.0,-1.0
2024-05-26,-1.0,1.0,-1.0,2.0,0.0,-1.0
2024-05-25,-1.0,1.0,-1.0,1.0,0.0,-1.0
2024-05-24,-1.0,3.0,3.0,5.0,0.0,-1.0
2024-05-23,-1.0,1.0,-1.0,1.0,0.0,-1.0
2024-05-21,-1.0,1.0,-1.0,3.0,0.0,-1.0
2024-05-20,-1.0,2.0,0.0,3.0,0.0,-1.0
2024-05-19,-1.0,2.0,1.0,3.0,0.0,-1.0
2024-05-18,-1.0,0.0,-1.0,2.0,0.0,-1.0
2024-05-17,-1.0,0.0,-1.0,3.0,0.0,-1.0
2024-05-16,-1.0,15.0,14.0,14.0,9.0,-1.0
2024-05-13,-1.0,0.0,7.0,8.0,3.0,-1.0
2024-05-12,-1.0,1.0,-1.0,1.0,0.0,-1.0
2024-05-11,-1.0,1.0,3.0,3.0,0.0,-1.0
2024-05-10,-1.0,1.0,3.0,5.0,0.0,-1.0
2024-05-09,-1.0,15.0,16.0,17.0,11.0,-1.0
2024-05-06,-1.0,26.0,27.0,37.0,22.0,-1.0
2024-05-05,-1.0,1.0,3.0,6.0,0.0,-1.0
2024-05-04,-1.0,2.0,0.0,2.0,0.0,-1.0
2024-05-03,-1.0,24.0,25.0,26.0,20.0,-1.0
2024-05-02,-1.0,1.0,-1.0,1.0,0.0,-1.0
2024-04-29,-1.0,1.0,1.0,3.0,0.0,-1.0
2024-04-28,-1.0,1.0,0.0,16.0,0.0,-1.0
2024-04-27,-1.0,3.0,3.0,4.0,0.0,-1.0
2024-04-26,-1.0,34.0,32.0,37.0,28.0,-1.0
2024-04-01,-1.0,1.0,0.0,2.0,0.0,-1.0
