date,Leipzig_Hbf.in,Leipzig_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,10.0,10.0,10.0,3.0,3.0,17.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,22.0,24.0,19.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,7.0,7.0,4.0,-1.0
2024-05-27,-1.0,0.0,0.0,0.0,8.0,10.0,5.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,19.0,18.0,16.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,5.0,13.0,2.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,25.0,30.0,22.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,30.0,30.0,27.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,106.0,113.0,103.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,7.0,7.0,4.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,150.0,155.0,147.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,47.0,47.0,44.0,-1.0
2024-05-15,-1.0,35.0,35.0,35.0,73.0,73.0,45.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,5.0,5.0,2.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,1.0,3.0,0.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,3.0,4.0,0.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,5.0,6.0,2.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,6.0,6.0,3.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,4.0,4.0,1.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,5.0,5.0,2.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,3.0,2.0,0.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,10.0,11.0,7.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,-1.0,3.0,0.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,43.0,43.0,40.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,5.0,4.0,2.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,4.0,4.0,1.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,3.0,2.0,0.0,-1.0
