date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Mülheim(Ruhr)Hbf.in,Mülheim(Ruhr)Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Aachen_Hbf.in,Aachen_Hbf.out
2024-05-30,0.0,0.0,-1.0,5.0,0.0,0.0,5.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,14.0,-1.0,-1.0,-1.0
2024-05-29,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,18.0,14.0,6.0,-1.0
2024-05-28,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,-1.0
2024-05-27,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,7.0,6.0,5.0,4.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,3.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,7.0,5.0,0.0,-1.0
2024-05-26,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,52.0,51.0,52.0,58.0,57.0,0.0,0.0,62.0,62.0,67.0,74.0,104.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,110.0,99.0,95.0,74.0,-1.0
2024-05-25,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,13.0,11.0,11.0,-1.0
2024-05-24,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,0.0,0.0,15.0,15.0,18.0,18.0,16.0,15.0,21.0,21.0,23.0,23.0,23.0,24.0,25.0,25.0,29.0,31.0,0.0,0.0,29.0,28.0,20.0,-1.0
2024-05-23,0.0,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,7.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-22,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,6.0,0.0,0.0,6.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,10.0,0.0,0.0,6.0,4.0,1.0,-1.0
2024-05-20,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,8.0,9.0,9.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,0.0,0.0,2.0,1.0,0.0,-1.0
