date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Bruchsal.in,Bruchsal.out,Karlsruhe-Durlach.in,Karlsruhe-Durlach.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-05-30,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-29,-1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,6.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-25,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,7.0,-1.0
2024-05-22,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,8.0,0.0,0.0,11.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,11.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-16,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0,0.0,0.0
2024-05-15,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,-1.0,0.0,0.0
2024-05-14,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,0.0
2024-05-13,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,-1.0,0.0,0.0
2024-05-12,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,0.0
2024-05-10,-1.0,1.0,-1.0,1.0,0.0,8.0,5.0,4.0,0.0,0.0,2.0,2.0,2.0,1.0,5.0,-1.0,0.0,0.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
2024-05-08,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0,0.0,0.0
2024-05-07,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,-1.0,0.0,0.0
2024-05-06,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,32.0,30.0,30.0,27.0,-1.0,0.0,0.0
