date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,0.0,4.0,6.0,13.0,12.0,12.0,12.0,13.0,15.0,0.0,0.0,11.0,12.0,11.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,19.0,0.0,0.0,3.0,5.0,6.0,-1.0
2024-05-28,-1.0,0.0,42.0,40.0,48.0,47.0,46.0,45.0,41.0,38.0,0.0,0.0,39.0,39.0,40.0,-1.0
2024-05-27,-1.0,0.0,-1.0,0.0,17.0,16.0,11.0,11.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,-1.0,0.0,19.0,20.0,28.0,27.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-05-24,-1.0,7.0,6.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-23,-1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,7.0,8.0,6.0,14.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,15.0,-1.0
2024-05-16,-1.0,0.0,0.0,1.0,72.0,72.0,77.0,54.0,52.0,51.0,0.0,0.0,0.0,0.0,51.0,-1.0
2024-05-15,-1.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,11.0,12.0,17.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,-1.0,0.0,1.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,37.0,38.0,38.0,30.0,23.0,21.0,0.0,0.0,18.0,18.0,18.0,-1.0
2024-05-09,-1.0,6.0,0.0,0.0,25.0,25.0,24.0,17.0,13.0,12.0,0.0,0.0,6.0,6.0,9.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,15.0,16.0,21.0,13.0,7.0,7.0,0.0,0.0,3.0,3.0,2.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,46.0,46.0,57.0,50.0,42.0,42.0,0.0,0.0,43.0,43.0,44.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,15.0,16.0,27.0,18.0,15.0,14.0,0.0,0.0,14.0,15.0,16.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,36.0,36.0,36.0,30.0,21.0,21.0,0.0,0.0,17.0,17.0,18.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,26.0,26.0,32.0,25.0,19.0,18.0,0.0,0.0,18.0,18.0,20.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,21.0,22.0,29.0,20.0,15.0,16.0,0.0,0.0,13.0,14.0,15.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,22.0,22.0,27.0,19.0,11.0,11.0,0.0,0.0,8.0,8.0,9.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,15.0,16.0,17.0,7.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,0.0,0.0,0.0,10.0,10.0,26.0,16.0,11.0,11.0,0.0,0.0,4.0,5.0,4.0,-1.0
2024-04-26,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,23.0,23.0,38.0,28.0,38.0,38.0,0.0,0.0,34.0,34.0,33.0,-1.0
2024-04-24,-1.0,1.0,0.0,0.0,10.0,10.0,10.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,4.0,-1.0
2024-04-23,-1.0,7.0,0.0,0.0,60.0,61.0,62.0,62.0,55.0,55.0,0.0,0.0,52.0,52.0,52.0,-1.0
2024-04-22,-1.0,34.0,0.0,0.0,65.0,67.0,66.0,68.0,62.0,61.0,0.0,0.0,63.0,64.0,62.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,0.0,0.0,0.0,49.0,49.0,55.0,55.0,56.0,56.0,0.0,0.0,51.0,51.0,51.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,34.0,40.0,41.0,42.0,39.0,38.0,0.0,0.0,40.0,40.0,40.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,19.0,20.0,20.0,27.0,20.0,19.0,0.0,0.0,13.0,13.0,11.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,7.0,8.0,-1.0,-1.0,55.0,57.0,0.0,0.0,0.0,0.0,60.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-15,-1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,18.0,18.0,35.0,14.0,11.0,10.0,0.0,0.0,0.0,0.0,15.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,23.0,23.0,26.0,5.0,9.0,8.0,0.0,0.0,0.0,0.0,11.0,-1.0
2024-04-09,-1.0,64.0,0.0,0.0,8.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,2.0,159.0,137.0,132.0,146.0,0.0,0.0,201.0,199.0,218.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,28.0,28.0,0.0,0.0,0.0,0.0,26.0,-1.0
