date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-30,-1.0,3.0,10.0,10.0,6.0,6.0,2.0,1.0,2.0,-1.0
2024-05-29,-1.0,1.0,2.0,2.0,61.0,62.0,50.0,50.0,54.0,-1.0
2024-05-28,-1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,18.0,-1.0
2024-05-27,-1.0,0.0,0.0,0.0,4.0,5.0,10.0,10.0,19.0,-1.0
2024-05-24,-1.0,1.0,5.0,6.0,8.0,8.0,3.0,3.0,0.0,-1.0
2024-05-23,-1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-05-22,-1.0,0.0,9.0,9.0,6.0,5.0,2.0,1.0,0.0,-1.0
2024-05-21,-1.0,1.0,4.0,4.0,12.0,12.0,3.0,3.0,0.0,-1.0
2024-05-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-16,-1.0,1.0,2.0,2.0,9.0,8.0,5.0,5.0,0.0,-1.0
2024-05-15,-1.0,2.0,6.0,6.0,34.0,33.0,25.0,24.0,20.0,-1.0
2024-05-14,-1.0,0.0,1.0,3.0,8.0,6.0,5.0,6.0,1.0,-1.0
2024-05-13,-1.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,3.0,1.0,1.0,2.0,2.0,26.0,25.0,21.0,-1.0
2024-05-09,-1.0,1.0,2.0,2.0,5.0,5.0,6.0,5.0,3.0,-1.0
2024-05-08,-1.0,3.0,2.0,2.0,6.0,5.0,6.0,5.0,0.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,1.0,3.0,25.0,24.0,18.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,-1.0
2024-05-03,-1.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,-1.0
2024-05-02,-1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,-1.0
2024-05-01,-1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,-1.0
2024-04-30,-1.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,0.0,-1.0
2024-04-26,-1.0,0.0,2.0,2.0,6.0,6.0,1.0,1.0,4.0,-1.0
2024-04-25,-1.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,2.0,-1.0
2024-04-23,-1.0,0.0,5.0,6.0,15.0,14.0,14.0,14.0,7.0,-1.0
2024-04-22,-1.0,0.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,-1.0
2024-04-19,-1.0,1.0,1.0,0.0,7.0,6.0,0.0,1.0,2.0,-1.0
2024-04-18,-1.0,15.0,20.0,20.0,28.0,27.0,22.0,22.0,17.0,-1.0
2024-04-17,-1.0,0.0,2.0,1.0,2.0,42.0,34.0,34.0,27.0,-1.0
2024-04-16,-1.0,0.0,2.0,2.0,20.0,20.0,14.0,13.0,12.0,-1.0
2024-04-15,-1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,3.0,-1.0
2024-04-12,-1.0,1.0,0.0,1.0,8.0,7.0,2.0,1.0,0.0,-1.0
2024-04-11,-1.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,1.0,4.0,4.0,10.0,9.0,3.0,2.0,0.0,-1.0
2024-04-09,-1.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,5.0,-1.0
2024-04-05,-1.0,0.0,11.0,11.0,33.0,33.0,40.0,40.0,33.0,-1.0
2024-04-04,-1.0,3.0,9.0,9.0,22.0,21.0,25.0,25.0,23.0,-1.0
2024-04-03,-1.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,-1.0
2024-04-02,-1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,0.0,-1.0
