date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,3.0,5.0,2.0,6.0,7.0,7.0,7.0,13.0,-1.0
2024-05-29,-1.0,4.0,10.0,8.0,4.0,5.0,16.0,17.0,32.0,-1.0
2024-05-28,-1.0,3.0,15.0,11.0,7.0,7.0,1.0,2.0,0.0,-1.0
2024-05-27,-1.0,17.0,33.0,34.0,43.0,43.0,33.0,35.0,31.0,-1.0
2024-05-26,-1.0,1.0,26.0,23.0,31.0,31.0,30.0,30.0,36.0,-1.0
2024-05-24,-1.0,1.0,1.0,3.0,0.0,1.0,15.0,15.0,18.0,-1.0
2024-05-23,-1.0,10.0,10.0,10.0,6.0,12.0,25.0,25.0,43.0,-1.0
2024-05-22,-1.0,3.0,2.0,2.0,5.0,5.0,11.0,12.0,13.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,2.0,0.0,0.0,4.0,4.0,5.0,15.0,26.0,-1.0
2024-05-17,-1.0,7.0,7.0,8.0,25.0,25.0,29.0,30.0,29.0,-1.0
2024-05-16,-1.0,0.0,1.0,1.0,0.0,1.0,6.0,7.0,4.0,-1.0
2024-05-15,-1.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,4.0,-1.0
2024-05-14,-1.0,7.0,6.0,7.0,5.0,7.0,11.0,10.0,17.0,-1.0
2024-05-13,-1.0,1.0,3.0,3.0,3.0,8.0,9.0,10.0,12.0,-1.0
2024-05-12,-1.0,7.0,7.0,8.0,3.0,4.0,9.0,11.0,10.0,-1.0
2024-05-10,-1.0,5.0,28.0,28.0,37.0,37.0,45.0,45.0,47.0,-1.0
2024-05-09,-1.0,2.0,6.0,7.0,3.0,3.0,4.0,4.0,1.0,-1.0
2024-05-08,-1.0,1.0,1.0,2.0,3.0,5.0,12.0,12.0,12.0,-1.0
2024-05-07,-1.0,2.0,2.0,3.0,10.0,13.0,20.0,21.0,26.0,-1.0
2024-05-06,-1.0,2.0,6.0,6.0,11.0,13.0,12.0,12.0,23.0,-1.0
2024-05-05,-1.0,0.0,6.0,7.0,6.0,7.0,5.0,5.0,14.0,-1.0
2024-05-03,-1.0,9.0,18.0,18.0,25.0,25.0,25.0,24.0,27.0,-1.0
2024-05-02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-01,-1.0,2.0,4.0,4.0,10.0,11.0,10.0,10.0,5.0,-1.0
2024-04-30,-1.0,1.0,2.0,2.0,5.0,5.0,11.0,11.0,12.0,-1.0
2024-04-29,-1.0,3.0,11.0,12.0,11.0,13.0,20.0,19.0,28.0,-1.0
2024-04-28,-1.0,1.0,4.0,5.0,1.0,1.0,3.0,3.0,3.0,-1.0
2024-04-26,-1.0,4.0,6.0,7.0,36.0,38.0,44.0,44.0,44.0,-1.0
2024-04-25,-1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,-1.0
2024-04-24,-1.0,6.0,6.0,7.0,2.0,5.0,10.0,11.0,7.0,-1.0
2024-04-23,-1.0,14.0,31.0,32.0,29.0,29.0,49.0,49.0,48.0,-1.0
2024-04-22,-1.0,1.0,1.0,2.0,1.0,1.0,20.0,20.0,26.0,-1.0
2024-04-21,-1.0,1.0,2.0,7.0,4.0,4.0,71.0,-1.0,-1.0,-1.0
2024-04-19,-1.0,5.0,6.0,7.0,14.0,15.0,56.0,58.0,57.0,-1.0
2024-04-18,-1.0,3.0,3.0,4.0,1.0,1.0,12.0,18.0,19.0,-1.0
2024-04-17,-1.0,1.0,10.0,10.0,7.0,6.0,25.0,26.0,29.0,-1.0
2024-04-16,-1.0,0.0,4.0,4.0,1.0,3.0,5.0,6.0,11.0,-1.0
2024-04-12,-1.0,9.0,9.0,9.0,6.0,8.0,27.0,31.0,33.0,-1.0
2024-04-11,-1.0,38.0,39.0,40.0,40.0,40.0,47.0,46.0,52.0,-1.0
2024-04-10,-1.0,1.0,2.0,3.0,1.0,2.0,17.0,17.0,20.0,-1.0
2024-04-09,-1.0,5.0,6.0,6.0,5.0,4.0,18.0,19.0,23.0,-1.0
2024-04-08,-1.0,11.0,11.0,12.0,8.0,9.0,7.0,7.0,16.0,-1.0
2024-04-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-05,-1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,7.0,-1.0
2024-04-04,-1.0,1.0,1.0,1.0,2.0,2.0,11.0,11.0,10.0,-1.0
2024-04-03,-1.0,-1.0,-1.0,-1.0,91.0,91.0,112.0,114.0,120.0,-1.0
2024-04-02,-1.0,3.0,4.0,4.0,1.0,13.0,14.0,13.0,32.0,-1.0
2024-04-01,-1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,-1.0
