date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-30,-1.0,1.0,0.0,1.0,14.0,15.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,5.0,11.0,11.0,12.0,12.0,8.0,8.0,-1.0,-1.0
2024-05-29,-1.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,0.0,6.0,1.0,-1.0,-1.0
2024-05-28,-1.0,8.0,0.0,0.0,7.0,8.0,2.0,2.0,0.0,2.0,0.0,1.0,5.0,2.0,6.0,6.0,0.0,0.0,3.0,3.0,-1.0,-1.0
2024-05-27,-1.0,2.0,0.0,0.0,4.0,5.0,5.0,4.0,3.0,1.0,15.0,14.0,1.0,1.0,6.0,6.0,8.0,0.0,3.0,3.0,-1.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-05-24,0.0,0.0,0.0,0.0,-1.0,4.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,-1.0
2024-05-23,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-05-22,0.0,0.0,0.0,0.0,-1.0,9.0,15.0,15.0,13.0,14.0,13.0,14.0,16.0,16.0,0.0,0.0,8.0,-1.0,2.0,2.0,6.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,0.0,0.0,12.0,14.0,12.0,13.0,11.0,11.0,11.0,12.0,0.0,0.0,4.0,0.0,3.0,7.0,9.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,4.0,0.0,-1.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0
2024-05-17,0.0,0.0,0.0,0.0,-1.0,5.0,5.0,6.0,5.0,5.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-16,0.0,0.0,0.0,0.0,-1.0,1.0,14.0,15.0,18.0,19.0,18.0,19.0,22.0,22.0,0.0,0.0,14.0,14.0,15.0,15.0,16.0,-1.0
2024-05-15,0.0,0.0,0.0,0.0,-1.0,1.0,4.0,8.0,6.0,7.0,4.0,4.0,10.0,11.0,0.0,0.0,4.0,4.0,7.0,4.0,10.0,-1.0
2024-05-14,0.0,0.0,0.0,0.0,-1.0,7.0,44.0,45.0,45.0,46.0,44.0,44.0,45.0,45.0,0.0,0.0,38.0,38.0,37.0,40.0,39.0,-1.0
2024-05-13,-1.0,1.0,0.0,1.0,1.0,3.0,7.0,8.0,8.0,9.0,10.0,10.0,12.0,13.0,0.0,0.0,6.0,6.0,9.0,9.0,12.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,-1.0,1.0,0.0,0.0,0.0,5.0,8.0,8.0,5.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-05-10,0.0,0.0,0.0,0.0,-1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0
2024-05-09,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,-1.0,0.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-07,-1.0,-1.0,0.0,0.0,-1.0,3.0,7.0,9.0,6.0,7.0,5.0,5.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0
2024-05-04,-1.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0
2024-05-03,-1.0,0.0,0.0,0.0,-1.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,9.0,9.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,9.0,9.0,13.0,17.0,14.0,14.0,17.0,-1.0,0.0,0.0
2024-04-30,-1.0,26.0,21.0,22.0,25.0,25.0,33.0,33.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,36.0,35.0,34.0,44.0,-1.0,0.0,0.0
2024-04-29,-1.0,7.0,15.0,17.0,21.0,22.0,22.0,21.0,19.0,20.0,19.0,19.0,20.0,20.0,19.0,20.0,20.0,20.0,38.0,-1.0,0.0,0.0
2024-04-28,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,1.0,0.0,0.0,43.0,43.0,49.0,49.0,49.0,49.0,48.0,48.0,54.0,55.0,64.0,65.0,64.0,63.0,71.0,-1.0,0.0,0.0
2024-04-26,-1.0,0.0,0.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,4.0,2.0,3.0,0.0,-1.0,1.0,-1.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,-1.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,6.0,7.0,5.0,6.0,15.0,15.0,18.0,-1.0,0.0,0.0
2024-04-24,-1.0,2.0,24.0,24.0,28.0,29.0,31.0,32.0,29.0,31.0,30.0,30.0,30.0,32.0,43.0,46.0,48.0,48.0,49.0,-1.0,0.0,0.0
2024-04-23,-1.0,1.0,-1.0,0.0,31.0,32.0,38.0,39.0,41.0,41.0,39.0,38.0,40.0,40.0,40.0,41.0,36.0,36.0,43.0,-1.0,0.0,0.0
2024-04-22,-1.0,0.0,1.0,1.0,9.0,10.0,8.0,8.0,7.0,9.0,15.0,15.0,16.0,16.0,15.0,16.0,16.0,15.0,22.0,-1.0,0.0,0.0
2024-04-21,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,2.0,7.0,8.0,5.0,5.0,7.0,7.0,5.0,6.0,2.0,1.0,2.0,-1.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,-1.0,5.0,1.0,1.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,-1.0
