date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,-1.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,9.0,20.0,19.0,49.0,49.0,48.0,49.0,50.0,-1.0
2024-05-29,-1.0,2.0,-1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,0.0,1.0,0.0,-1.0
2024-05-27,-1.0,5.0,4.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,9.0,10.0,7.0,8.0,3.0,-1.0
2024-05-26,-1.0,1.0,-1.0,2.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,4.0,38.0,42.0,41.0,41.0,42.0,-1.0
2024-05-25,-1.0,1.0,-1.0,1.0,0.0,0.0,2.0,12.0,11.0,10.0,8.0,8.0,40.0,41.0,37.0,37.0,38.0,-1.0
2024-05-24,-1.0,6.0,5.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,47.0,48.0,43.0,44.0,50.0,-1.0
2024-05-23,-1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,5.0,3.0,10.0,11.0,6.0,7.0,7.0,-1.0
2024-05-22,-1.0,24.0,23.0,24.0,21.0,22.0,19.0,20.0,3.0,2.0,1.0,10.0,15.0,16.0,11.0,12.0,15.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,5.0,5.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,-1.0
2024-05-20,-1.0,0.0,-1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,-1.0
2024-05-19,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,3.0,16.0,14.0,14.0,40.0,41.0,69.0,70.0,70.0,-1.0
2024-05-18,-1.0,1.0,-1.0,2.0,0.0,0.0,1.0,5.0,4.0,6.0,4.0,4.0,3.0,8.0,2.0,1.0,1.0,-1.0
2024-05-17,-1.0,7.0,7.0,8.0,4.0,4.0,5.0,5.0,7.0,8.0,8.0,19.0,46.0,46.0,47.0,47.0,57.0,-1.0
2024-05-16,-1.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,5.0,4.0,5.0,3.0,9.0,11.0,6.0,6.0,18.0,-1.0
2024-05-15,-1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,9.0,9.0,8.0,3.0,12.0,13.0,10.0,10.0,12.0,-1.0
2024-05-14,-1.0,1.0,-1.0,2.0,0.0,82.0,79.0,80.0,74.0,73.0,71.0,66.0,66.0,67.0,63.0,63.0,62.0,-1.0
2024-05-12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,24.0,18.0,37.0,37.0,33.0,33.0,37.0,-1.0
2024-05-11,-1.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,41.0,39.0,38.0,34.0,42.0,43.0,37.0,37.0,36.0,-1.0
2024-05-10,-1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,7.0,8.0,3.0,3.0,4.0,-1.0
2024-05-09,-1.0,1.0,-1.0,2.0,1.0,2.0,1.0,2.0,6.0,5.0,4.0,7.0,7.0,7.0,5.0,5.0,11.0,-1.0
2024-05-08,-1.0,25.0,-1.0,26.0,22.0,22.0,16.0,16.0,2.0,2.0,5.0,3.0,5.0,6.0,3.0,-1.0,0.0,0.0
2024-05-07,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,-1.0,-1.0,0.0
2024-05-05,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,27.0,29.0,26.0,22.0,25.0,25.0,17.0,17.0,21.0,-1.0
2024-05-04,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,-1.0
2024-05-03,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,-1.0
2024-05-02,-1.0,30.0,-1.0,30.0,25.0,24.0,20.0,22.0,6.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,1.0,-1.0
2024-05-01,-1.0,6.0,6.0,6.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,-1.0
2024-04-30,-1.0,1.0,1.0,2.0,0.0,0.0,5.0,5.0,4.0,2.0,1.0,1.0,7.0,9.0,4.0,4.0,7.0,-1.0
2024-04-29,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,3.0,3.0,3.0,-1.0
2024-04-28,-1.0,1.0,-1.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,1.0,19.0,19.0,12.0,13.0,14.0,-1.0
2024-04-27,-1.0,22.0,0.0,22.0,18.0,20.0,22.0,22.0,25.0,27.0,23.0,18.0,21.0,28.0,24.0,25.0,24.0,-1.0
2024-04-26,-1.0,1.0,-1.0,2.0,1.0,2.0,-1.0,-1.0,135.0,143.0,157.0,153.0,158.0,159.0,156.0,157.0,156.0,-1.0
2024-04-24,-1.0,1.0,2.0,2.0,4.0,5.0,4.0,5.0,3.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,-1.0
2024-04-23,-1.0,12.0,-1.0,12.0,12.0,14.0,9.0,9.0,6.0,0.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,-1.0
2024-04-22,-1.0,2.0,-1.0,3.0,13.0,12.0,6.0,6.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,-1.0
2024-04-21,-1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,9.0,9.0,4.0,4.0,9.0,-1.0
2024-04-20,-1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,2.0,3.0,-1.0
2024-04-19,0.0,0.0,-1.0,1.0,25.0,25.0,21.0,21.0,4.0,4.0,1.0,2.0,7.0,9.0,6.0,7.0,8.0,-1.0
2024-04-18,0.0,0.0,-1.0,0.0,4.0,3.0,2.0,2.0,6.0,7.0,5.0,3.0,3.0,4.0,2.0,2.0,1.0,-1.0
2024-04-17,0.0,0.0,-1.0,5.0,4.0,3.0,10.0,10.0,10.0,7.0,6.0,1.0,6.0,6.0,2.0,2.0,3.0,-1.0
2024-04-16,0.0,0.0,-1.0,1.0,3.0,3.0,5.0,5.0,6.0,4.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,-1.0
2024-04-15,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,6.0,8.0,11.0,7.0,7.0,6.0,-1.0
2024-04-14,0.0,0.0,-1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,-1.0
2024-04-13,-1.0,1.0,-1.0,2.0,4.0,4.0,54.0,54.0,53.0,63.0,63.0,61.0,62.0,64.0,60.0,61.0,60.0,-1.0
2024-04-12,-1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,10.0,-1.0
2024-04-11,-1.0,1.0,-1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,6.0,7.0,1.0,1.0,1.0,-1.0
2024-04-10,-1.0,1.0,1.0,1.0,3.0,3.0,3.0,13.0,6.0,4.0,3.0,2.0,4.0,6.0,2.0,3.0,1.0,-1.0
2024-04-09,-1.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,7.0,4.0,4.0,1.0,-1.0
2024-04-08,-1.0,16.0,-1.0,32.0,29.0,29.0,28.0,31.0,14.0,13.0,10.0,4.0,5.0,6.0,3.0,3.0,5.0,-1.0
2024-04-07,-1.0,14.0,-1.0,1.0,0.0,2.0,2.0,2.0,25.0,24.0,22.0,17.0,20.0,20.0,17.0,17.0,27.0,-1.0
2024-04-06,-1.0,7.0,-1.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,8.0,9.0,4.0,5.0,10.0,-1.0
2024-04-05,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,87.0,88.0,82.0,83.0,82.0,-1.0
2024-04-04,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,5.0,6.0,7.0,7.0,3.0,3.0,4.0,-1.0
2024-04-03,-1.0,3.0,-1.0,5.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,0.0,0.0,1.0,-1.0
2024-04-02,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,12.0,10.0,6.0,26.0,26.0,20.0,20.0,22.0,-1.0
2024-04-01,-1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,6.0,6.0,6.0,4.0,5.0,5.0,1.0,2.0,2.0,-1.0
