date,Hamburg_Hbf.in,Hamburg_Hbf.out,Uelzen.in,Uelzen.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Celle.in,Celle.out,Lüneburg.in,Lüneburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0,5.0,5.0,0.0,0.0,11.0,10.0,0.0,0.0,20.0,17.0,21.0,21.0,16.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,4.0,11.0,4.0,4.0,0.0,0.0,2.0,2.0,5.0,1.0,8.0,5.0,7.0,6.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,4.0,6.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,8.0,7.0,4.0,16.0,16.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,-1.0,16.0,0.0,0.0,18.0,18.0,0.0,0.0,21.0,20.0,26.0,24.0,19.0,19.0,0.0,0.0,22.0,22.0,47.0,48.0,49.0,49.0,69.0,67.0,68.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,-1.0,4.0,9.0,9.0,4.0,10.0,3.0,3.0,10.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,12.0,9.0,8.0,7.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,49.0,-1.0,-1.0,42.0,42.0,42.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,-1.0,2.0,10.0,9.0,6.0,6.0,0.0,0.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,33.0,33.0,20.0,24.0,-1.0,-1.0,19.0,19.0,25.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,6.0,4.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,3.0,40.0,-1.0,-1.0,50.0,59.0,60.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,20.0,21.0,25.0,22.0,24.0,24.0,21.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,-1.0,5.0,4.0,6.0,4.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,38.0,39.0,33.0,31.0,33.0,31.0,35.0,35.0,32.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0.0,22.0,26.0,25.0,21.0,21.0,19.0,18.0,23.0,30.0,15.0,14.0,1.0,1.0,0.0,0.0,2.0,2.0,26.0,27.0,27.0,23.0,26.0,25.0,25.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,-1.0,13.0,23.0,22.0,14.0,14.0,16.0,15.0,21.0,21.0,15.0,8.0,8.0,7.0,0.0,0.0,14.0,14.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,-1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
