date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,18.0,19.0,35.0,44.0,38.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,56.0,58.0,-1.0
2024-05-29,-1.0,14.0,11.0,11.0,14.0,13.0,15.0,16.0,0.0,0.0,13.0,13.0,12.0,13.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-05-28,-1.0,13.0,11.0,10.0,9.0,6.0,6.0,8.0,0.0,0.0,8.0,7.0,35.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,-1.0
2024-05-26,-1.0,4.0,10.0,10.0,13.0,12.0,13.0,14.0,0.0,0.0,3.0,4.0,3.0,3.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-25,-1.0,0.0,0.0,1.0,7.0,8.0,11.0,15.0,0.0,0.0,13.0,14.0,10.0,5.0,5.0,5.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,128.0,-1.0
2024-05-24,-1.0,3.0,0.0,1.0,3.0,1.0,5.0,22.0,0.0,0.0,67.0,69.0,39.0,37.0,33.0,32.0,30.0,30.0,153.0,153.0,153.0,153.0,30.0,30.0,141.0,-1.0
2024-05-23,-1.0,2.0,2.0,2.0,3.0,4.0,6.0,7.0,0.0,0.0,9.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,4.0,2.0,3.0,4.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,5.0,2.0,2.0,2.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,20.0,20.0,15.0,14.0,5.0,5.0,116.0,116.0,2.0,2.0,2.0,2.0,116.0,116.0,104.0,-1.0
2024-05-20,-1.0,3.0,0.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,114.0,114.0,114.0,114.0,115.0,115.0,115.0,114.0,105.0,-1.0
2024-05-19,-1.0,25.0,25.0,25.0,29.0,29.0,30.0,30.0,0.0,0.0,13.0,13.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-05-18,-1.0,2.0,1.0,2.0,6.0,4.0,5.0,7.0,0.0,0.0,60.0,66.0,61.0,57.0,49.0,52.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,149.0,-1.0
2024-05-17,-1.0,2.0,2.0,2.0,6.0,11.0,10.0,11.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,121.0,-1.0
2024-05-16,-1.0,1.0,43.0,44.0,-1.0,-1.0,36.0,38.0,0.0,0.0,28.0,29.0,27.0,23.0,15.0,15.0,12.0,11.0,10.0,11.0,9.0,10.0,7.0,7.0,8.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,12.0,13.0,10.0,6.0,0.0,0.0,1.0,8.0,3.0,3.0,0.0,0.0,3.0,4.0,6.0,-1.0
2024-05-14,-1.0,1.0,0.0,0.0,4.0,4.0,4.0,6.0,0.0,0.0,13.0,14.0,9.0,6.0,3.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-05-13,-1.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,15.0,15.0,15.0,-1.0
2024-05-12,-1.0,2.0,1.0,1.0,38.0,35.0,34.0,36.0,0.0,0.0,23.0,22.0,18.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,2.0,1.0,1.0,7.0,5.0,6.0,8.0,0.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,16.0,14.0,1.0,-1.0
2024-05-10,-1.0,2.0,3.0,5.0,8.0,19.0,20.0,21.0,0.0,0.0,21.0,28.0,23.0,18.0,13.0,10.0,9.0,10.0,3.0,5.0,3.0,5.0,2.0,3.0,1.0,-1.0
2024-05-08,-1.0,3.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,-1.0
2024-05-07,-1.0,2.0,0.0,0.0,6.0,29.0,29.0,33.0,0.0,0.0,21.0,22.0,25.0,20.0,11.0,11.0,8.0,9.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,-1.0
