date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,-1.0,18.0,0.0,0.0,90.0,103.0,115.0,116.0,125.0,128.0,0.0,0.0,133.0,134.0,163.0,161.0,163.0,162.0,159.0,-1.0
2024-05-29,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,2.0,14.0,12.0,8.0,-1.0
2024-05-28,-1.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,4.0,29.0,37.0,39.0,41.0,37.0,36.0,37.0,35.0,51.0,-1.0
2024-05-27,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,8.0,9.0,9.0,9.0,5.0,-1.0
2024-05-26,-1.0,8.0,0.0,0.0,0.0,0.0,19.0,20.0,16.0,17.0,25.0,26.0,15.0,16.0,25.0,25.0,27.0,26.0,31.0,-1.0
2024-05-25,-1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,-1.0
2024-05-24,-1.0,12.0,0.0,0.0,18.0,18.0,23.0,19.0,17.0,3.0,50.0,51.0,82.0,81.0,-1.0,-1.0,44.0,42.0,39.0,-1.0
2024-05-22,-1.0,6.0,0.0,0.0,11.0,11.0,8.0,1.0,1.0,0.0,5.0,6.0,0.0,2.0,10.0,9.0,12.0,12.0,15.0,-1.0
2024-05-21,-1.0,6.0,0.0,0.0,7.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,7.0,6.0,6.0,-1.0
2024-05-20,-1.0,8.0,0.0,0.0,8.0,9.0,7.0,7.0,98.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,43.0,-1.0
2024-05-19,-1.0,3.0,0.0,0.0,4.0,17.0,14.0,7.0,1.0,1.0,73.0,6.0,80.0,80.0,8.0,7.0,9.0,9.0,7.0,-1.0
2024-05-18,-1.0,15.0,0.0,0.0,17.0,17.0,14.0,6.0,4.0,1.0,8.0,8.0,6.0,5.0,8.0,4.0,6.0,5.0,4.0,-1.0
2024-05-17,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,10.0,11.0,5.0,2.0,8.0,7.0,2.0,-1.0
