date,Hamburg_Hbf.in,Hamburg_Hbf.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,7.0,8.0,7.0,7.0,12.0,12.0,8.0,8.0,4.0,3.0,1.0,1.0,0.0,-1.0
2024-05-29,-1.0,4.0,0.0,0.0,3.0,4.0,6.0,2.0,0.0,0.0,18.0,17.0,18.0,18.0,22.0,21.0,19.0,18.0,62.0,62.0,68.0,-1.0
2024-05-28,-1.0,7.0,0.0,0.0,19.0,21.0,26.0,21.0,21.0,22.0,17.0,18.0,34.0,34.0,33.0,34.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-27,-1.0,1.0,0.0,0.0,2.0,3.0,7.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,5.0,1.0,-1.0
2024-05-26,-1.0,7.0,0.0,0.0,9.0,11.0,11.0,6.0,3.0,3.0,0.0,1.0,10.0,10.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-25,-1.0,1.0,3.0,3.0,1.0,2.0,6.0,5.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,3.0,-1.0
2024-05-24,-1.0,1.0,4.0,4.0,1.0,2.0,4.0,5.0,2.0,2.0,0.0,1.0,6.0,6.0,9.0,9.0,4.0,4.0,2.0,1.0,0.0,-1.0
2024-05-23,-1.0,1.0,2.0,3.0,1.0,1.0,6.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,4.0,4.0,-1.0
2024-05-22,-1.0,0.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,14.0,-1.0
2024-05-20,-1.0,6.0,9.0,9.0,6.0,7.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
2024-05-19,-1.0,42.0,64.0,65.0,58.0,61.0,64.0,65.0,63.0,42.0,18.0,19.0,15.0,15.0,14.0,14.0,6.0,6.0,2.0,1.0,0.0,-1.0
2024-05-18,-1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,-1.0
2024-05-17,-1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,-1.0
2024-05-16,-1.0,1.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-15,-1.0,6.0,7.0,7.0,4.0,6.0,6.0,7.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-05-14,-1.0,11.0,17.0,17.0,12.0,14.0,20.0,21.0,28.0,7.0,6.0,6.0,6.0,6.0,12.0,12.0,9.0,8.0,6.0,5.0,5.0,-1.0
2024-05-13,-1.0,3.0,5.0,6.0,2.0,2.0,4.0,5.0,10.0,1.0,5.0,6.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-12,-1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,7.0,7.0,7.0,8.0,7.0,3.0,2.0,0.0,-1.0
2024-05-10,-1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,-1.0
2024-05-09,-1.0,0.0,2.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-08,-1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,8.0,9.0,6.0,6.0,3.0,3.0,1.0,1.0,13.0,-1.0
2024-05-07,-1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0
2024-05-06,-1.0,1.0,6.0,6.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,-1.0
2024-05-05,-1.0,3.0,7.0,7.0,4.0,5.0,3.0,3.0,6.0,6.0,11.0,11.0,8.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,13.0,-1.0
