date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,12.0,12.0,20.0,23.0,40.0,39.0,39.0,39.0,37.0,39.0,37.0,36.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,3.0,8.0,9.0,0.0,0.0,6.0,38.0,0.0,0.0,59.0,58.0,61.0,61.0,0.0,0.0,59.0,59.0,58.0,60.0,64.0,64.0,65.0,69.0,68.0,69.0,63.0,64.0,60.0,60.0,61.0,61.0,67.0,66.0,65.0,-1.0
2024-05-28,-1.0,4.0,2.0,3.0,0.0,0.0,5.0,5.0,2.0,3.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,5.0,13.0,12.0,10.0,10.0,10.0,8.0,11.0,12.0,6.0,6.0,8.0,7.0,9.0,7.0,6.0,-1.0
2024-05-27,-1.0,12.0,11.0,13.0,10.0,10.0,6.0,6.0,4.0,5.0,4.0,2.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,46.0,48.0,0.0,0.0,47.0,47.0,49.0,50.0,52.0,51.0,62.0,61.0,79.0,82.0,83.0,105.0,107.0,108.0,110.0,110.0,113.0,113.0,115.0,-1.0
2024-05-24,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,7.0,6.0,1.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,18.0,19.0,0.0,0.0,18.0,18.0,18.0,19.0,24.0,24.0,29.0,29.0,27.0,27.0,24.0,25.0,26.0,27.0,29.0,28.0,35.0,33.0,35.0,-1.0
2024-05-23,-1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,43.0,42.0,1.0,5.0,-1.0,-1.0,0.0,0.0,27.0,27.0,29.0,29.0,29.0,28.0,44.0,44.0,43.0,41.0,44.0,46.0,43.0,43.0,46.0,48.0,48.0,48.0,47.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,4.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,10.0,11.0,1.0,1.0,4.0,5.0,6.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.0,40.0,37.0,44.0,43.0,43.0,42.0,-1.0
2024-05-21,-1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,110.0,110.0,110.0,0.0,0.0,108.0,109.0,111.0,111.0,112.0,111.0,122.0,122.0,124.0,125.0,119.0,121.0,116.0,115.0,117.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,7.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,7.0,7.0,3.0,4.0,4.0,3.0,5.0,5.0,8.0,8.0,6.0,-1.0
2024-05-19,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,10.0,0.0,0.0,9.0,8.0,8.0,9.0,11.0,9.0,18.0,18.0,15.0,17.0,18.0,19.0,17.0,18.0,22.0,22.0,23.0,22.0,21.0,-1.0
