date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Eisenach.in,Eisenach.out,Fulda.in,Fulda.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,10.0,9.0,10.0,0.0,0.0,17.0,18.0,20.0,-1.0
2024-05-29,0.0,0.0,-1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,8.0,10.0,10.0,8.0,0.0,0.0,5.0,5.0,1.0,-1.0
2024-05-28,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,19.0,0.0,0.0,26.0,28.0,16.0,-1.0
2024-05-27,0.0,0.0,-1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,59.0,54.0,54.0,53.0,52.0,0.0,0.0,64.0,65.0,23.0,-1.0
2024-05-26,0.0,0.0,-1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,35.0,26.0,26.0,24.0,23.0,0.0,0.0,17.0,18.0,13.0,-1.0
2024-05-25,0.0,0.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,9.0,11.0,8.0,8.0,0.0,0.0,2.0,3.0,0.0,-1.0
2024-05-24,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,9.0,11.0,11.0,11.0,0.0,0.0,5.0,5.0,3.0,-1.0
2024-05-23,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,9.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,12.0,-1.0
2024-05-22,0.0,0.0,-1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,34.0,31.0,31.0,30.0,32.0,0.0,0.0,0.0,0.0,16.0,-1.0
2024-05-21,0.0,0.0,-1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,23.0,20.0,21.0,20.0,21.0,0.0,0.0,0.0,0.0,26.0,-1.0
