date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Mülheim(Ruhr)Hbf.in,Mülheim(Ruhr)Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düren.in,Düren.out,Aachen_Hbf.in,Aachen_Hbf.out
2024-05-30,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,3.0,3.0,1.0,1.0,4.0,-1.0
2024-05-29,0.0,0.0,-1.0,2.0,-1.0,2.0,0.0,0.0,4.0,5.0,4.0,3.0,6.0,7.0,0.0,0.0,7.0,8.0,7.0,7.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,23.0,16.0,13.0,13.0,11.0,-1.0
2024-05-27,0.0,0.0,-1.0,3.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,11.0,5.0,0.0,0.0,0.0,-1.0
2024-05-26,0.0,0.0,-1.0,0.0,-1.0,4.0,1.0,1.0,17.0,18.0,22.0,20.0,25.0,25.0,0.0,0.0,25.0,24.0,26.0,27.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,47.0,40.0,0.0,0.0,33.0,-1.0
2024-05-25,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,9.0,3.0,3.0,3.0,5.0,-1.0
2024-05-24,0.0,0.0,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,7.0,6.0,7.0,7.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,-1.0
2024-05-15,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14.0,0.0,0.0,14.0,11.0,4.0,4.0,9.0,-1.0
2024-05-14,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,-1.0
2024-05-13,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,7.0,11.0,13.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,14.0,15.0,16.0,16.0,16.0,0.0,0.0,10.0,8.0,1.0,1.0,1.0,-1.0
2024-05-12,0.0,0.0,-1.0,2.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
