date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,4.0,5.0,10.0,11.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,27.0,-1.0
2024-05-29,-1.0,1.0,3.0,3.0,6.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,-1.0
2024-05-28,-1.0,3.0,2.0,3.0,3.0,1.0,8.0,13.0,21.0,21.0,23.0,24.0,0.0,0.0,0.0,0.0,17.0,16.0,17.0,17.0,18.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,5.0,5.0,5.0,6.0,16.0,18.0,20.0,20.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,29.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,-1.0
2024-05-24,-1.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,69.0,70.0,41.0,41.0,0.0,0.0,0.0,0.0,38.0,42.0,0.0,0.0,44.0,-1.0
2024-05-23,-1.0,7.0,30.0,30.0,-1.0,-1.0,49.0,50.0,59.0,59.0,35.0,35.0,0.0,0.0,0.0,0.0,34.0,32.0,0.0,0.0,29.0,-1.0
2024-05-22,-1.0,2.0,4.0,5.0,5.0,3.0,6.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,10.0,9.0,15.0,16.0,14.0,14.0,13.0,13.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,5.0,-1.0
2024-05-20,-1.0,3.0,3.0,3.0,6.0,4.0,9.0,9.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-19,-1.0,5.0,2.0,2.0,23.0,22.0,23.0,25.0,7.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,9.0,8.0,9.0,10.0,7.0,10.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,-1.0
2024-05-17,-1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,9.0,10.0,9.0,11.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,17.0,-1.0
2024-05-16,-1.0,-1.0,-1.0,1.0,4.0,4.0,5.0,6.0,0.0,1.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
