date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,3.0,7.0,8.0,6.0,6.0,7.0,1.0,1.0,0.0,2.0,3.0,22.0,24.0,18.0,19.0,19.0,18.0,14.0,12.0,7.0,-1.0
2024-05-29,-1.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,3.0,2.0,3.0,3.0,12.0,12.0,13.0,12.0,16.0,14.0,10.0,10.0,14.0,-1.0
2024-05-28,-1.0,3.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,25.0,24.0,8.0,8.0,6.0,6.0,6.0,5.0,1.0,0.0,2.0,-1.0
2024-05-27,-1.0,5.0,3.0,4.0,2.0,2.0,7.0,2.0,2.0,2.0,1.0,2.0,5.0,6.0,5.0,6.0,3.0,2.0,1.0,1.0,2.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-05-25,-1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,18.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,6.0,4.0,2.0,1.0,4.0,-1.0
2024-05-22,-1.0,0.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,0.0,4.0,5.0,5.0,6.0,3.0,3.0,6.0,4.0,1.0,0.0,6.0,-1.0
2024-05-21,-1.0,0.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,-1.0
2024-05-20,-1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-19,-1.0,96.0,110.0,112.0,110.0,111.0,106.0,105.0,101.0,79.0,60.0,60.0,57.0,57.0,51.0,51.0,60.0,57.0,53.0,51.0,47.0,-1.0
2024-05-18,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,5.0,5.0,3.0,0.0,0.0,3.0,-1.0
2024-05-17,-1.0,39.0,39.0,39.0,40.0,41.0,43.0,42.0,40.0,17.0,8.0,8.0,11.0,10.0,7.0,6.0,1.0,1.0,0.0,0.0,10.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,2.0,2.0,30.0,30.0,20.0,20.0,20.0,21.0,15.0,15.0,15.0,15.0,14.0,13.0,11.0,10.0,13.0,-1.0
2024-05-15,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,7.0,7.0,3.0,3.0,4.0,2.0,1.0,1.0,6.0,-1.0
2024-05-14,-1.0,0.0,-1.0,13.0,14.0,14.0,7.0,6.0,5.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-05-09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-08,-1.0,8.0,8.0,9.0,11.0,11.0,6.0,5.0,4.0,0.0,2.0,18.0,15.0,15.0,11.0,11.0,9.0,8.0,6.0,4.0,6.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,-1.0
2024-05-05,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,14.0,14.0,9.0,9.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-05-04,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,12.0,12.0,13.0,13.0,13.0,7.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,8.0,-1.0
2024-05-02,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,2.0,8.0,7.0,3.0,-1.0
2024-05-01,-1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,-1.0
2024-04-30,-1.0,6.0,5.0,5.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,7.0,7.0,10.0,9.0,8.0,6.0,2.0,-1.0
2024-04-29,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,6.0,6.0,7.0,6.0,10.0,8.0,7.0,5.0,7.0,-1.0
2024-04-28,-1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,14.0,53.0,59.0,59.0,53.0,53.0,53.0,52.0,65.0,64.0,60.0,-1.0
2024-04-27,-1.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,58.0,58.0,65.0,64.0,75.0,73.0,70.0,-1.0
2024-04-26,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,5.0,7.0,-1.0
2024-04-25,-1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,6.0,7.0,4.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,6.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,5.0,4.0,1.0,0.0,3.0,-1.0
2024-04-23,-1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,-1.0
2024-04-22,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,5.0,-1.0
2024-04-21,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,16.0,16.0,11.0,10.0,8.0,7.0,3.0,1.0,0.0,-1.0
2024-04-20,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,12.0,9.0,7.0,12.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,22.0,23.0,21.0,30.0,-1.0
2024-04-17,-1.0,-1.0,2.0,2.0,1.0,2.0,0.0,0.0,-1.0,-1.0,52.0,53.0,47.0,47.0,43.0,42.0,38.0,37.0,34.0,32.0,34.0,-1.0
2024-04-16,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,5.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,-1.0
2024-04-14,-1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,1.0,0.0,-1.0
2024-04-12,-1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,-1.0
2024-04-11,-1.0,3.0,2.0,2.0,5.0,5.0,6.0,5.0,2.0,1.0,6.0,6.0,28.0,29.0,28.0,27.0,23.0,22.0,17.0,15.0,15.0,-1.0
2024-04-10,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,1.0,0.0,7.0,10.0,10.0,6.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,56.0,57.0,58.0,55.0,53.0,51.0,50.0,-1.0
2024-04-08,-1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,68.0,70.0,67.0,68.0,67.0,67.0,68.0,66.0,62.0,61.0,61.0,-1.0
2024-04-07,-1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,6.0,5.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,22.0,5.0,9.0,10.0,7.0,7.0,3.0,3.0,3.0,2.0,0.0,0.0,5.0,-1.0
2024-04-04,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,-1.0
2024-04-03,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,-1.0
2024-04-02,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
