date,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,7.0,8.0,1.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,3.0,5.0,4.0,6.0,5.0,6.0,10.0,11.0,9.0,9.0,15.0,15.0,-1.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,51.0,52.0,53.0,50.0,49.0,50.0,51.0,49.0,50.0,44.0,44.0,50.0,49.0,43.0,-1.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,6.0,2.0,-1.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,7.0,3.0,13.0,-1.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,8.0,10.0,4.0,-1.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,8.0,9.0,5.0,5.0,4.0,5.0,8.0,9.0,3.0,4.0,16.0,4.0,22.0,-1.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,2.0,0.0,0.0,6.0,9.0,7.0,8.0,3.0,3.0,3.0,5.0,4.0,-1.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,-1.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,-1.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,5.0,6.0,5.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,-1.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,5.0,12.0,12.0,6.0,-1.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,5.0,7.0,1.0,1.0,2.0,2.0,0.0,-1.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,7.0,7.0,8.0,7.0,10.0,10.0,5.0,-1.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11.0,11.0,12.0,10.0,10.0,12.0,13.0,12.0,13.0,9.0,9.0,12.0,9.0,7.0,-1.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,-1.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,50.0,54.0,-1.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,13.0,9.0,9.0,9.0,9.0,10.0,12.0,12.0,11.0,18.0,18.0,12.0,-1.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,5.0,3.0,4.0,3.0,3.0,7.0,14.0,24.0,24.0,26.0,24.0,22.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,7.0,6.0,8.0,3.0,2.0,-1.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.0,8.0,9.0,5.0,5.0,3.0,3.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,-1.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,1.0,-1.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,-1.0
