date,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Ludwigslust.in,Ludwigslust.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,-1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,51.0,51.0,52.0,51.0,49.0,-1.0
2024-05-29,-1.0,1.0,-1.0,2.0,3.0,3.0,2.0,2.0,11.0,11.0,15.0,15.0,14.0,-1.0
2024-05-28,-1.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,7.0,7.0,8.0,7.0,6.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,6.0,6.0,4.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-25,-1.0,0.0,-1.0,2.0,3.0,2.0,2.0,2.0,0.0,14.0,14.0,13.0,12.0,-1.0
2024-05-24,-1.0,10.0,6.0,6.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,-1.0
2024-05-23,-1.0,1.0,-1.0,1.0,1.0,1.0,2.0,2.0,8.0,13.0,13.0,13.0,11.0,-1.0
2024-05-22,-1.0,0.0,-1.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,6.0,6.0,4.0,-1.0
2024-05-21,-1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,7.0,4.0,7.0,15.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,-1.0
2024-05-17,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-15,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,-1.0
2024-05-14,-1.0,0.0,-1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,-1.0
2024-05-13,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,6.0,4.0,5.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
