date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln/Bonn_Flughafen.in,Köln/Bonn_Flughafen.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out
2024-05-30,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,3.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,-1.0,26.0,32.0,32.0,28.0,28.0,27.0,27.0,24.0,24.0,22.0,22.0,28.0,-1.0
2024-05-24,-1.0,0.0,-1.0,0.0,3.0,3.0,5.0,7.0,6.0,6.0,5.0,5.0,10.0,-1.0
2024-05-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-22,-1.0,-1.0,0.0,2.0,7.0,7.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,8.0,12.0,13.0,9.0,9.0,7.0,8.0,5.0,5.0,3.0,3.0,4.0,-1.0
