date,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Eisenach.in,Eisenach.out,Mainz_Hbf.in,Mainz_Hbf.out,Fulda.in,Fulda.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,-1.0,21.0,22.0,22.0,33.0,32.0,27.0,27.0,0.0,0.0,0.0,0.0,23.0,24.0,0.0,0.0,25.0,25.0,5.0,5.0,1.0,-1.0
2024-05-29,-1.0,28.0,28.0,29.0,41.0,41.0,40.0,41.0,0.0,0.0,0.0,0.0,40.0,42.0,0.0,0.0,41.0,40.0,14.0,14.0,10.0,-1.0
2024-05-25,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,-1.0
2024-05-24,-1.0,1.0,6.0,6.0,5.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,14.0,13.0,16.0,22.0,35.0,31.0,32.0,0.0,0.0,0.0,0.0,29.0,30.0,0.0,0.0,33.0,32.0,2.0,2.0,4.0,-1.0
2024-05-22,-1.0,1.0,-1.0,1.0,10.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,8.0,-1.0,8.0,7.0,9.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,0.0,1.0,5.0,23.0,19.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,14.0,-1.0
2024-05-19,-1.0,6.0,2.0,3.0,-1.0,-1.0,58.0,59.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,43.0,-1.0
2024-05-18,-1.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,21.0,-1.0
2024-05-17,-1.0,2.0,1.0,2.0,48.0,51.0,48.0,50.0,0.0,0.0,130.0,130.0,54.0,57.0,0.0,0.0,144.0,144.0,89.0,87.0,86.0,-1.0
2024-05-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,0.0,0.0,0.0,0.0,26.0,27.0,0.0,0.0,24.0,23.0,6.0,5.0,2.0,-1.0
2024-05-15,-1.0,5.0,5.0,6.0,57.0,59.0,55.0,55.0,0.0,0.0,0.0,0.0,59.0,61.0,0.0,0.0,73.0,77.0,65.0,65.0,68.0,-1.0
2024-05-14,-1.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-13,-1.0,2.0,-1.0,2.0,9.0,12.0,9.0,10.0,0.0,0.0,0.0,0.0,13.0,15.0,0.0,0.0,14.0,13.0,0.0,1.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,-1.0
2024-05-11,-1.0,3.0,-1.0,2.0,1.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,4.0,5.0,3.0,1.0,2.0,-1.0
2024-05-10,-1.0,7.0,6.0,7.0,12.0,11.0,22.0,23.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,19.0,19.0,22.0,20.0,1.0,-1.0
2024-05-09,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,11.0,8.0,-1.0
2024-05-08,-1.0,20.0,0.0,0.0,0.0,0.0,25.0,26.0,54.0,25.0,0.0,0.0,23.0,24.0,0.0,0.0,23.0,26.0,25.0,25.0,6.0,-1.0
2024-05-07,-1.0,12.0,0.0,0.0,0.0,0.0,15.0,14.0,42.0,13.0,0.0,0.0,13.0,14.0,0.0,0.0,9.0,9.0,12.0,12.0,1.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,31.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,-1.0
2024-05-05,-1.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,33.0,4.0,0.0,0.0,4.0,8.0,0.0,0.0,4.0,5.0,5.0,4.0,2.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,-1.0
2024-05-03,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,20.0,4.0,0.0,0.0,6.0,7.0,0.0,0.0,5.0,5.0,8.0,8.0,5.0,-1.0
2024-05-02,-1.0,4.0,-1.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,-1.0
2024-04-30,-1.0,3.0,-1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,1.0,5.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
2024-04-28,-1.0,7.0,-1.0,12.0,8.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,-1.0
2024-04-27,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,-1.0
