date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out
2024-05-30,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-29,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,0.0,0.0,5.0,12.0,18.0,-1.0
2024-05-28,-1.0,0.0,-1.0,1.0,-1.0,0.0,5.0,5.0,4.0,3.0,5.0,5.0,0.0,0.0,2.0,2.0,6.0,-1.0
2024-05-27,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,2.0,0.0,1.0,6.0,5.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-25,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,-1.0
2024-05-24,-1.0,1.0,-1.0,1.0,-1.0,1.0,3.0,3.0,3.0,4.0,9.0,12.0,0.0,0.0,13.0,10.0,11.0,-1.0
2024-05-23,-1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-22,-1.0,8.0,37.0,58.0,58.0,65.0,68.0,68.0,67.0,67.0,71.0,72.0,0.0,0.0,71.0,69.0,66.0,-1.0
2024-05-21,-1.0,15.0,16.0,16.0,14.0,14.0,32.0,32.0,31.0,31.0,41.0,40.0,0.0,0.0,40.0,40.0,16.0,-1.0
2024-05-18,-1.0,1.0,-1.0,1.0,-1.0,0.0,16.0,16.0,15.0,15.0,21.0,20.0,0.0,0.0,15.0,14.0,14.0,-1.0
2024-05-17,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-16,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-15,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,6.0,-1.0
2024-05-14,-1.0,1.0,-1.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,16.0,15.0,0.0,0.0,14.0,11.0,12.0,-1.0
2024-05-13,-1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,4.0,1.0,7.0,-1.0
2024-05-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-10,-1.0,1.0,7.0,7.0,4.0,4.0,3.0,3.0,15.0,14.0,12.0,12.0,0.0,0.0,8.0,8.0,5.0,-1.0
2024-05-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-02,-1.0,1.0,-1.0,1.0,1.0,1.0,3.0,3.0,10.0,10.0,13.0,12.0,0.0,0.0,13.0,11.0,12.0,-1.0
2024-05-01,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-30,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-04-29,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,5.0,4.0,0.0,0.0,3.0,2.0,6.0,-1.0
2024-04-27,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-26,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,6.0,9.0,8.0,0.0,0.0,7.0,4.0,5.0,-1.0
2024-04-25,-1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,5.0,0.0,0.0,2.0,0.0,3.0,-1.0
2024-04-24,-1.0,4.0,1.0,2.0,1.0,1.0,6.0,5.0,5.0,4.0,6.0,7.0,0.0,0.0,11.0,9.0,11.0,-1.0
2024-04-23,-1.0,5.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,1.0,2.0,2.0,-1.0
2024-04-22,-1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,-1.0
2024-04-20,-1.0,2.0,-1.0,1.0,-1.0,4.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,3.0,8.0,-1.0
2024-04-19,-1.0,4.0,-1.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,6.0,7.0,0.0,0.0,7.0,9.0,20.0,-1.0
2024-04-18,-1.0,23.0,23.0,22.0,20.0,20.0,21.0,20.0,18.0,18.0,23.0,22.0,0.0,0.0,21.0,27.0,29.0,-1.0
2024-04-17,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,28.0,-1.0
2024-04-15,-1.0,1.0,-1.0,0.0,0.0,0.0,6.0,6.0,11.0,11.0,12.0,12.0,28.0,-1.0,28.0,28.0,120.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,6.0,6.0,5.0,5.0,4.0,4.0,0.0,0.0,5.0,-1.0,0.0,0.0
2024-04-13,-1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,6.0,0.0,0.0,8.0,8.0,31.0,-1.0
2024-04-12,-1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,11.0,0.0,0.0,8.0,9.0,34.0,-1.0
2024-04-11,-1.0,3.0,3.0,1.0,1.0,1.0,21.0,21.0,19.0,18.0,21.0,20.0,0.0,0.0,29.0,29.0,67.0,-1.0
2024-04-10,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,36.0,-1.0
2024-04-09,-1.0,4.0,3.0,2.0,2.0,6.0,22.0,21.0,31.0,30.0,33.0,31.0,0.0,0.0,35.0,35.0,71.0,-1.0
2024-04-08,-1.0,7.0,7.0,6.0,5.0,4.0,1.0,1.0,2.0,1.0,7.0,7.0,0.0,0.0,5.0,6.0,32.0,-1.0
2024-04-06,-1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,4.0,3.0,28.0,-1.0
2024-04-05,-1.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,6.0,5.0,0.0,0.0,1.0,1.0,23.0,-1.0
2024-04-04,-1.0,4.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,2.0,26.0,-1.0
2024-04-03,-1.0,4.0,-1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,6.0,0.0,0.0,6.0,5.0,34.0,-1.0
2024-04-02,-1.0,4.0,-1.0,3.0,2.0,2.0,2.0,2.0,5.0,6.0,10.0,9.0,0.0,0.0,14.0,14.0,36.0,-1.0
