date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Bensheim.in,Bensheim.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,5.0,19.0,-1.0
2024-05-29,-1.0,1.0,13.0,12.0,12.0,12.0,0.0,0.0,27.0,27.0,1.0,1.0,22.0,-1.0
2024-05-28,-1.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,1.0,1.0,13.0,-1.0
2024-05-27,-1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,10.0,12.0,12.0,13.0,-1.0
2024-05-26,-1.0,9.0,11.0,11.0,10.0,9.0,0.0,0.0,34.0,34.0,31.0,31.0,31.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,-1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-05-22,-1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,20.0,20.0,15.0,15.0,0.0,0.0,15.0,15.0,17.0,-1.0
2024-05-20,-1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-19,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-16,-1.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,11.0,11.0,12.0,11.0,15.0,-1.0
2024-05-15,-1.0,31.0,0.0,0.0,0.0,0.0,34.0,29.0,25.0,25.0,30.0,30.0,30.0,-1.0
2024-05-14,-1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,35.0,34.0,34.0,-1.0
2024-05-13,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,44.0,2.0,2.0,24.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,3.0,3.0,9.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,2.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,25.0,25.0,-1.0
2024-05-01,-1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,1.0,2.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,-1.0
2024-04-28,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,-1.0
