date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Hannover_Hbf.in,Hannover_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-05-30,-1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,10.0,11.0,8.0,7.0,-1.0
2024-05-29,-1.0,5.0,1.0,1.0,0.0,1.0,3.0,11.0,10.0,10.0,7.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-28,-1.0,1.0,1.0,1.0,3.0,3.0,4.0,7.0,5.0,5.0,3.0,3.0,7.0,6.0,4.0,3.0,1.0,14.0,17.0,16.0,15.0,14.0,14.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,20.0,8.0,0.0,0.0,4.0,3.0,2.0,-1.0
2024-05-27,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-26,-1.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,6.0,8.0,16.0,20.0,20.0,21.0,20.0,20.0,16.0,16.0,16.0,15.0,15.0,14.0,13.0,3.0,1.0,0.0,0.0,12.0,12.0,11.0,-1.0
2024-05-25,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,6.0,7.0,6.0,6.0,11.0,2.0,0.0,0.0,6.0,5.0,3.0,-1.0
2024-05-23,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-21,-1.0,0.0,0.0,4.0,1.0,1.0,1.0,6.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-05-20,-1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,15.0,13.0,12.0,11.0,15.0,14.0,15.0,14.0,13.0,12.0,12.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,-1.0
2024-05-19,-1.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,20.0,19.0,18.0,16.0,17.0,16.0,16.0,14.0,13.0,12.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,0.0,20.0,16.0,14.0,13.0,17.0,17.0,17.0,17.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,13.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-13,-1.0,1.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,55.0,54.0,52.0,51.0,51.0,50.0,50.0,49.0,48.0,47.0,47.0,40.0,40.0,40.0,39.0,39.0,38.0,39.0,6.0,36.0,0.0,0.0,41.0,40.0,39.0,-1.0
