date,Norddeich.in,Norddeich.out,Norden.in,Norden.out,Marienhafe.in,Marienhafe.out,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Augustfehn.in,Augustfehn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Hude.in,Hude.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Delmenhorst.in,Delmenhorst.out,Bremen_Hbf.in,Bremen_Hbf.out,Minden(Westf).in,Minden(Westf).out,Verden(Aller).in,Verden(Aller).out,Nienburg(Weser).in,Nienburg(Weser).out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Helmstedt.in,Helmstedt.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Brandenburg_Hbf.in,Brandenburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Potsdam_Hbf.in,Potsdam_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin-Wannsee.in,Berlin-Wannsee.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,10.0,9.0,8.0,8.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,1.0,30.0,30.0,28.0,22.0,21.0,21.0,0.0,0.0,23.0,21.0,0.0,0.0,21.0,20.0,18.0,18.0,16.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,5.0,4.0,2.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,-1.0
2024-05-27,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,21.0,20.0,0.0,0.0,19.0,9.0,0.0,0.0,7.0,6.0,5.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-25,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,13.0,13.0,3.0,8.0,8.0,0.0,0.0,8.0,7.0,5.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,56.0,-1.0,-1.0
2024-05-24,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,4.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,5.0,6.0,6.0,5.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,8.0,7.0,8.0,7.0,0.0,0.0,15.0,2.0,0.0,0.0,7.0,6.0,6.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,3.0,3.0,-1.0
2024-05-22,-1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,17.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,10.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,88.0,67.0,0.0,0.0,65.0,65.0,64.0,63.0,62.0,55.0,58.0,57.0,0.0,0.0,60.0,59.0,0.0,0.0,59.0,58.0,60.0,59.0,59.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,-1.0
