date,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin-Spandau.in,Berlin-Spandau.out,Ludwigslust.in,Ludwigslust.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Itzehoe.in,Itzehoe.out,Heide(Holst).in,Heide(Holst).out,Husum.in,Husum.out,Niebüll.in,Niebüll.out,Niebüll_neg.in,Niebüll_neg.out
2024-05-30,0.0,0.0,-1.0,0.0,0.0,11.0,8.0,9.0,5.0,2.0,2.0,2.0,0.0,1.0,3.0,4.0,7.0,7.0,10.0,10.0,9.0,9.0
2024-05-29,0.0,0.0,-1.0,11.0,11.0,10.0,5.0,6.0,5.0,3.0,4.0,5.0,1.0,2.0,1.0,7.0,9.0,10.0,17.0,17.0,17.0,17.0
2024-05-28,0.0,0.0,-1.0,0.0,-1.0,6.0,1.0,2.0,4.0,1.0,1.0,1.0,9.0,24.0,30.0,30.0,33.0,33.0,35.0,35.0,35.0,-1.0
2024-05-27,0.0,0.0,-1.0,0.0,-1.0,3.0,0.0,1.0,0.0,3.0,4.0,4.0,1.0,2.0,6.0,8.0,9.0,12.0,15.0,15.0,21.0,21.0
2024-05-26,0.0,0.0,-1.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,8.0,26.0,29.0,31.0,31.0,25.0,25.0,32.0,26.0
2024-05-25,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,59.0,59.0,56.0,54.0,55.0,55.0,56.0,56.0,56.0,-1.0,-1.0,-1.0
2024-05-24,0.0,0.0,-1.0,-1.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,15.0,16.0,18.0,19.0,27.0,27.0,27.0,27.0
2024-05-23,0.0,0.0,-1.0,0.0,0.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,22.0,22.0,26.0,27.0,38.0,38.0,38.0,38.0
2024-05-22,0.0,0.0,-1.0,0.0,0.0,4.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0,22.0,22.0,25.0,26.0,27.0,27.0,27.0,27.0
2024-05-21,0.0,0.0,-1.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,3.0,4.0,7.0,9.0,17.0,17.0,20.0,18.0
2024-05-20,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.0
2024-05-19,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,39.0,39.0,41.0,37.0,32.0,35.0,37.0,39.0,44.0,47.0,47.0,37.0,37.0
2024-05-18,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,5.0,5.0,7.0,3.0,1.0,3.0,4.0,5.0,7.0,15.0,15.0,8.0,20.0
2024-05-17,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,5.0,5.0,5.0,2.0,11.0,18.0,20.0,25.0,27.0,28.0,28.0,28.0,28.0
2024-05-16,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,8.0,13.0,13.0,13.0,13.0
2024-05-15,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,12.0,12.0,12.0,12.0
