date,München_Hbf.in,München_Hbf.out,Berchtesgaden_Hbf.in,Berchtesgaden_Hbf.out,Bischofswiesen.in,Bischofswiesen.out,Bayerisch_Gmain.in,Bayerisch_Gmain.out,Bad_Reichenhall-Kirchberg.in,Bad_Reichenhall-Kirchberg.out,Bad_Reichenhall.in,Bad_Reichenhall.out,Piding.in,Piding.out,Hammerau.in,Hammerau.out,Ainring.in,Ainring.out,Freilassing.in,Freilassing.out,Traunstein.in,Traunstein.out,Übersee.in,Übersee.out,Prien_am_Chiemsee.in,Prien_am_Chiemsee.out,Rosenheim.in,Rosenheim.out,München_Ost.in,München_Ost.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Donauwörth.in,Donauwörth.out,Treuchtlingen.in,Treuchtlingen.out,Ansbach.in,Ansbach.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,6.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0,3.0,2.0,2.0,3.0,17.0,18.0,20.0,23.0,21.0,20.0,22.0,25.0,22.0,22.0,18.0,17.0,18.0,17.0,21.0,20.0,25.0,24.0,23.0,-1.0
2024-05-29,0.0,0.0,-1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,8.0,13.0,12.0,11.0,11.0,10.0,9.0,15.0,14.0,15.0,15.0,10.0,5.0,15.0,20.0,15.0,15.0,8.0,8.0,8.0,8.0,7.0,6.0,13.0,14.0,12.0,13.0,12.0,12.0,11.0,12.0,7.0,8.0,3.0,3.0,1.0,2.0,8.0,7.0,6.0,6.0,6.0,-1.0
2024-05-28,0.0,0.0,-1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,14.0,15.0,19.0,20.0,16.0,17.0,10.0,11.0,12.0,13.0,13.0,12.0,28.0,28.0,27.0,27.0,26.0,26.0,31.0,33.0,25.0,25.0,24.0,24.0,19.0,21.0,24.0,26.0,25.0,24.0,23.0,-1.0
2024-05-27,0.0,0.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,23.0,23.0,19.0,24.0,24.0,25.0,21.0,22.0,18.0,18.0,20.0,19.0,24.0,25.0,33.0,36.0,38.0,39.0,42.0,41.0,40.0,42.0,36.0,36.0,36.0,35.0,38.0,38.0,52.0,-1.0,-1.0,52.0,-1.0,-1.0
2024-05-25,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,10.0,13.0,14.0,9.0,10.0,1.0,2.0,4.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,5.0,11.0,10.0,9.0,10.0,-1.0
2024-05-24,0.0,0.0,-1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,1.0,2.0,0.0,1.0,9.0,9.0,7.0,9.0,6.0,9.0,7.0,1.0,0.0,1.0,7.0,9.0,8.0,9.0,6.0,7.0,5.0,6.0,15.0,14.0,21.0,21.0,20.0,-1.0
2024-05-23,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,6.0,7.0,6.0,6.0,7.0,6.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,7.0,7.0,3.0,5.0,0.0,1.0,4.0,7.0,11.0,13.0,9.0,10.0,7.0,1.0,7.0,7.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,3.0,3.0,-1.0
2024-05-22,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,6.0,7.0,2.0,4.0,3.0,1.0,4.0,4.0,3.0,6.0,2.0,3.0,0.0,1.0,2.0,1.0,3.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,-1.0
2024-05-21,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,6.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,5.0,11.0,12.0,7.0,7.0,0.0,1.0,1.0,1.0,6.0,5.0,3.0,7.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,3.0,-1.0
2024-05-20,0.0,0.0,-1.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,4.0,6.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,30.0,26.0,28.0,30.0,31.0,23.0,23.0,20.0,19.0,18.0,18.0,20.0,20.0,22.0,22.0,21.0,-1.0
