date,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ansbach.in,Ansbach.out,Crailsheim.in,Crailsheim.out,Ellwangen.in,Ellwangen.out,Aalen_Hbf.in,Aalen_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Mühlacker.in,Mühlacker.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-05-30,-1.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-29,-1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,13.0,15.0,15.0,0.0,0.0,0.0,0.0,16.0,-1.0
2024-05-28,-1.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,8.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,8.0,-1.0
2024-05-27,-1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,20.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,26.0,-1.0
2024-05-26,-1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-25,-1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-23,-1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-22,-1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-21,-1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-19,-1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,1.0,1.0,2.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,5.0,4.0,11.0,12.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-17,-1.0,1.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,12.0,-1.0
2024-05-16,-1.0,1.0,2.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,-1.0
2024-05-15,-1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,-1.0
2024-05-14,-1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,-1.0
2024-05-13,-1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,-1.0
2024-05-12,-1.0,1.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,1.0,2.0,57.0,57.0,57.0,56.0,56.0,57.0,57.0,-1.0
