date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Rheine.in,Rheine.out,Lingen(Ems).in,Lingen(Ems).out,Meppen.in,Meppen.out,Papenburg(Ems).in,Papenburg(Ems).out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out,Norden.in,Norden.out,Norddeich.in,Norddeich.out,Norddeich_Mole.in,Norddeich_Mole.out
2024-05-30,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-25,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,16.0,16.0,16.0,14.0,13.0,13.0,9.0,8.0,8.0,8.0,15.0,3.0,2.0,2.0,1.0,1.0,1.0,-1.0
2024-05-24,-1.0,1.0,3.0,4.0,5.0,7.0,8.0,8.0,7.0,7.0,6.0,6.0,9.0,8.0,8.0,7.0,-1.0,-1.0,30.0,30.0,28.0,29.0,32.0,31.0,29.0,28.0,28.0,28.0,27.0,27.0,28.0,11.0,17.0,17.0,15.0,15.0,16.0,-1.0
2024-05-23,-1.0,27.0,23.0,23.0,23.0,21.0,21.0,20.0,19.0,18.0,0.0,0.0,20.0,20.0,22.0,28.0,39.0,38.0,35.0,36.0,35.0,35.0,37.0,36.0,33.0,33.0,29.0,29.0,29.0,31.0,30.0,13.0,16.0,16.0,-1.0,-1.0,12.0,-1.0
2024-05-22,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,1.0,0.0,0.0,4.0,5.0,5.0,7.0,6.0,5.0,0.0,0.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,7.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-17,-1.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,-1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,19.0,6.0,5.0,6.0,10.0,9.0,9.0,-1.0
2024-05-16,-1.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,-1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,3.0,-1.0
2024-05-10,-1.0,2.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,4.0,3.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,14.0,10.0,10.0,9.0,8.0,9.0,8.0,6.0,6.0,1.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-08,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-05-03,-1.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,2.0,15.0,14.0,18.0,18.0,24.0,22.0,20.0,20.0,17.0,16.0,18.0,18.0,16.0,1.0,10.0,10.0,9.0,9.0,8.0,-1.0
2024-05-02,-1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,6.0,6.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,-1.0
2024-05-01,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,-1.0,-1.0,22.0,21.0,25.0,24.0,0.0,0.0,27.0,26.0,25.0,24.0,27.0,26.0,22.0,21.0,17.0,17.0,16.0,15.0,25.0,25.0,21.0,22.0,22.0,23.0,23.0,6.0,6.0,5.0,4.0,4.0,4.0,-1.0
2024-04-26,-1.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,4.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,13.0,-1.0
2024-04-24,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,8.0,8.0,5.0,6.0,5.0,5.0,4.0,0.0,5.0,4.0,4.0,3.0,4.0,-1.0
2024-04-19,-1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,15.0,14.0,15.0,14.0,13.0,13.0,8.0,8.0,6.0,7.0,11.0,3.0,4.0,4.0,3.0,3.0,2.0,-1.0
2024-04-18,-1.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,7.0,7.0,6.0,6.0,-1.0
2024-04-17,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
