date,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Stendal_Hbf.in,Stendal_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out
2024-05-30,-1.0,4.0,6.0,6.0,4.0,5.0,9.0,9.0,8.0,-1.0
2024-05-29,-1.0,2.0,8.0,9.0,7.0,8.0,12.0,12.0,12.0,-1.0
2024-05-28,-1.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,-1.0
2024-05-27,-1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,-1.0
2024-05-26,-1.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,-1.0
2024-05-23,-1.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-05-22,-1.0,2.0,4.0,5.0,3.0,3.0,6.0,6.0,9.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,11.0,15.0,15.0,15.0,15.0,20.0,20.0,23.0,-1.0
2024-05-17,-1.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,-1.0
2024-05-16,-1.0,25.0,24.0,24.0,22.0,23.0,20.0,20.0,23.0,-1.0
2024-05-15,-1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,-1.0
2024-05-14,-1.0,1.0,5.0,112.0,111.0,111.0,112.0,112.0,121.0,-1.0
2024-05-13,-1.0,3.0,6.0,6.0,4.0,4.0,4.0,3.0,2.0,-1.0
2024-05-12,-1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,-1.0
2024-05-10,-1.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,-1.0
2024-05-09,-1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,-1.0
2024-05-08,-1.0,16.0,13.0,15.0,12.0,12.0,9.0,8.0,6.0,-1.0
2024-05-07,-1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-05-06,-1.0,4.0,4.0,4.0,5.0,5.0,11.0,11.0,15.0,-1.0
2024-05-05,-1.0,2.0,4.0,5.0,3.0,3.0,0.0,0.0,2.0,-1.0
2024-05-03,-1.0,14.0,14.0,14.0,16.0,17.0,16.0,16.0,26.0,-1.0
2024-05-02,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-01,-1.0,3.0,7.0,7.0,6.0,6.0,5.0,4.0,5.0,-1.0
2024-04-30,-1.0,2.0,2.0,2.0,5.0,7.0,12.0,11.0,13.0,-1.0
2024-04-29,-1.0,6.0,5.0,5.0,3.0,3.0,3.0,4.0,1.0,-1.0
2024-04-28,-1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,-1.0
2024-04-26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-25,-1.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,-1.0
2024-04-24,-1.0,16.0,15.0,16.0,13.0,14.0,13.0,12.0,15.0,-1.0
2024-04-22,-1.0,8.0,13.0,13.0,12.0,12.0,8.0,8.0,6.0,-1.0
2024-04-21,-1.0,4.0,4.0,5.0,3.0,3.0,8.0,7.0,7.0,-1.0
2024-04-19,-1.0,12.0,14.0,14.0,12.0,12.0,8.0,8.0,8.0,-1.0
2024-04-18,-1.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,24.0,-1.0
2024-04-17,-1.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,-1.0
2024-04-16,-1.0,22.0,25.0,25.0,36.0,36.0,34.0,34.0,33.0,-1.0
2024-04-15,-1.0,35.0,44.0,45.0,46.0,46.0,43.0,42.0,41.0,-1.0
2024-04-14,-1.0,0.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,-1.0
2024-04-12,-1.0,1.0,1.0,2.0,3.0,4.0,7.0,7.0,9.0,-1.0
2024-04-11,-1.0,2.0,4.0,4.0,3.0,3.0,5.0,7.0,11.0,-1.0
2024-04-10,-1.0,0.0,1.0,1.0,1.0,1.0,30.0,29.0,32.0,-1.0
2024-04-09,-1.0,2.0,6.0,6.0,9.0,9.0,5.0,4.0,7.0,-1.0
2024-04-08,-1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,-1.0
2024-04-07,-1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,-1.0
2024-04-05,-1.0,1.0,3.0,4.0,2.0,2.0,0.0,3.0,11.0,-1.0
2024-04-04,-1.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,-1.0
2024-04-03,-1.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,-1.0
2024-04-02,-1.0,2.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,-1.0
2024-04-01,-1.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,-1.0
