date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Bensheim.in,Bensheim.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,-1.0,0.0,7.0,7.0,6.0,6.0,9.0,9.0,3.0,-1.0
2024-05-29,-1.0,1.0,6.0,6.0,9.0,9.0,11.0,11.0,9.0,-1.0
2024-05-28,-1.0,-1.0,-1.0,0.0,6.0,6.0,6.0,6.0,6.0,-1.0
2024-05-27,-1.0,0.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,-1.0
2024-05-25,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,1.0,-1.0,0.0,7.0,7.0,0.0,0.0,2.0,-1.0
2024-05-22,-1.0,5.0,6.0,6.0,5.0,5.0,0.0,0.0,4.0,-1.0
2024-05-21,-1.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,-1.0
2024-05-19,-1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,-1.0
2024-05-18,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,7.0,-1.0
2024-05-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,-1.0
2024-05-14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-11,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-09,-1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,5.0,-1.0
2024-05-06,-1.0,7.0,-1.0,0.0,21.0,21.0,0.0,0.0,20.0,-1.0
2024-05-04,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-01,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,0.0,-1.0,0.0,8.0,8.0,0.0,0.0,2.0,-1.0
2024-04-29,-1.0,0.0,-1.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-23,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-1.0
2024-04-22,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-18,-1.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,-1.0
2024-04-17,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-16,-1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,5.0,-1.0
2024-04-15,-1.0,2.0,-1.0,0.0,2.0,2.0,10.0,10.0,10.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,-1.0
2024-04-10,-1.0,0.0,0.0,1.0,2.0,2.0,9.0,9.0,8.0,-1.0
2024-04-09,-1.0,0.0,-1.0,0.0,2.0,3.0,3.0,4.0,2.0,-1.0
2024-04-08,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-04-06,-1.0,0.0,-1.0,0.0,-1.0,-1.0,9.0,9.0,11.0,-1.0
2024-04-04,-1.0,0.0,10.0,9.0,8.0,8.0,4.0,5.0,5.0,-1.0
2024-04-03,-1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,-1.0
2024-04-02,-1.0,0.0,-1.0,0.0,2.0,2.0,3.0,3.0,1.0,-1.0
