date,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Itzehoe.in,Itzehoe.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,-1.0
2024-05-29,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,15.0,-1.0
2024-05-28,0.0,0.0,0.0,19.0,19.0,19.0,23.0,23.0,42.0,39.0,37.0,36.0,0.0,0.0,33.0,32.0,0.0,0.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,33.0,-1.0
2024-05-27,0.0,0.0,0.0,17.0,17.0,18.0,23.0,23.0,49.0,48.0,50.0,51.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,65.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,70.0,-1.0
2024-05-26,0.0,0.0,0.0,2.0,3.0,2.0,6.0,7.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,20.0,-1.0
2024-05-25,0.0,0.0,0.0,5.0,19.0,19.0,23.0,23.0,16.0,10.0,13.0,12.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,12.0,-1.0
2024-05-24,-1.0,0.0,-1.0,1.0,1.0,2.0,6.0,6.0,2.0,1.0,7.0,9.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,35.0,18.0,18.0,14.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,34.0,-1.0
2024-05-23,0.0,0.0,0.0,8.0,9.0,9.0,13.0,14.0,7.0,9.0,6.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,2.0,1.0,1.0,5.0,5.0,0.0,0.0,9.0,-1.0
2024-05-22,0.0,0.0,0.0,4.0,8.0,10.0,14.0,14.0,7.0,13.0,9.0,10.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,5.0,0.0,0.0,3.0,-1.0
2024-05-21,0.0,0.0,0.0,18.0,18.0,19.0,23.0,23.0,21.0,23.0,19.0,21.0,0.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,8.0,9.0,6.0,7.0,3.0,3.0,2.0,3.0,3.0,4.0,0.0,0.0,4.0,-1.0
2024-05-20,0.0,0.0,0.0,3.0,3.0,4.0,8.0,9.0,12.0,8.0,10.0,12.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,16.0,18.0,16.0,17.0,14.0,13.0,13.0,15.0,13.0,13.0,0.0,0.0,9.0,-1.0
2024-05-18,0.0,0.0,0.0,2.0,4.0,5.0,9.0,9.0,11.0,6.0,6.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,0.0,0.0,4.0,-1.0
2024-05-17,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,7.0,7.0,6.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,0.0,0.0,4.0,-1.0
2024-05-16,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,11.0,6.0,6.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,21.0,21.0,19.0,18.0,20.0,19.0,18.0,17.0,16.0,17.0,0.0,0.0,10.0,-1.0
