date,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Itzehoe.in,Itzehoe.out,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Wabern(Bz_Kassel).in,Wabern(Bz_Kassel).out,Treysa.in,Treysa.out,Marburg(Lahn).in,Marburg(Lahn).out,Gießen.in,Gießen.out,Friedberg(Hess).in,Friedberg(Hess).out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Bensheim.in,Bensheim.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,0.0,0.0,0.0,15.0,16.0,11.0,12.0,7.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,7.0,6.0,7.0,7.0,11.0,9.0,9.0,14.0,14.0,12.0,13.0,9.0,10.0,14.0,16.0,28.0,28.0,42.0,42.0,41.0,41.0,38.0,39.0,37.0,37.0,32.0,28.0,29.0,29.0,29.0,28.0,32.0,32.0,30.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,6.0,4.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,8.0,7.0,7.0,5.0,5.0,2.0,2.0,0.0,1.0,0.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,9.0,10.0,12.0,12.0,12.0,12.0,24.0,-1.0
2024-05-28,0.0,0.0,0.0,6.0,5.0,6.0,2.0,1.0,23.0,11.0,0.0,0.0,37.0,38.0,38.0,39.0,38.0,38.0,38.0,39.0,37.0,38.0,35.0,35.0,32.0,33.0,29.0,30.0,32.0,40.0,61.0,62.0,61.0,62.0,58.0,59.0,57.0,57.0,55.0,55.0,54.0,55.0,63.0,63.0,62.0,61.0,61.0,61.0,59.0,-1.0
2024-05-27,0.0,0.0,0.0,13.0,15.0,10.0,13.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,6.0,5.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0,15.0,18.0,16.0,42.0,45.0,46.0,50.0,50.0,47.0,48.0,46.0,47.0,45.0,45.0,47.0,44.0,46.0,46.0,46.0,46.0,48.0,48.0,51.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
