date,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Augustfehn.in,Augustfehn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Hude.in,Hude.out,Delmenhorst.in,Delmenhorst.out,Bremen_Hbf.in,Bremen_Hbf.out,Verden(Aller).in,Verden(Aller).out,Nienburg(Weser).in,Nienburg(Weser).out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Peine.in,Peine.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Helmstedt.in,Helmstedt.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out
2024-05-30,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,11.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,-1.0
2024-05-29,-1.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-28,-1.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,9.0,7.0,6.0,6.0,6.0,5.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-26,-1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,13.0,12.0,13.0,12.0,0.0,0.0,11.0,10.0,10.0,9.0,6.0,6.0,0.0,0.0,11.0,-1.0
2024-05-25,-1.0,8.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,41.0,44.0,45.0,43.0,40.0,40.0,40.0,40.0,40.0,40.0,29.0,29.0,29.0,30.0,29.0,29.0,27.0,26.0,25.0,26.0,25.0,0.0,0.0,28.0,9.0,8.0,6.0,4.0,3.0,5.0,5.0,13.0,-1.0
2024-05-23,-1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,27.0,26.0,27.0,27.0,25.0,23.0,21.0,21.0,20.0,19.0,0.0,0.0,18.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,-1.0
2024-05-22,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,6.0,5.0,6.0,5.0,0.0,0.0,23.0,8.0,9.0,7.0,4.0,3.0,4.0,4.0,2.0,-1.0
2024-05-21,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,9.0,8.0,8.0,5.0,6.0,5.0,6.0,5.0,0.0,0.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,-1.0
2024-05-20,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,6.0,8.0,7.0,5.0,6.0,7.0,6.0,4.0,-1.0
2024-05-19,-1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,5.0,5.0,3.0,-1.0
2024-05-16,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0
