date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Elsterwerda.in,Elsterwerda.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Bonn-Beuel.in,Bonn-Beuel.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,9.0,8.0,4.0,4.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,12.0,10.0,21.0,23.0,20.0,19.0,16.0,16.0,18.0,18.0,18.0,19.0,16.0,16.0,18.0,-1.0
2024-05-27,-1.0,0.0,2.0,3.0,0.0,0.0,9.0,10.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-26,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,27.0,29.0,29.0,28.0,29.0,28.0,28.0,27.0,30.0,29.0,30.0,31.0,33.0,36.0,39.0,-1.0
2024-05-25,-1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,9.0,6.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,6.0,6.0,7.0,10.0,26.0,28.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,41.0,38.0,38.0,37.0,34.0,34.0,30.0,29.0,34.0,36.0,35.0,35.0,45.0,45.0,45.0,-1.0
2024-05-24,-1.0,0.0,1.0,7.0,3.0,3.0,8.0,8.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,0.0,8.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,5.0,5.0,7.0,6.0,6.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-20,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,3.0,-1.0
2024-05-19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,5.0,9.0,13.0,14.0,12.0,12.0,14.0,-1.0
2024-05-18,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,7.0,8.0,7.0,26.0,46.0,47.0,46.0,46.0,48.0,51.0,52.0,53.0,53.0,53.0,60.0,60.0,60.0,57.0,60.0,60.0,64.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,64.0,61.0,61.0,62.0,67.0,68.0,66.0,64.0,64.0,65.0,67.0,67.0,68.0,69.0,70.0,-1.0
2024-05-17,-1.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,15.0,22.0,39.0,37.0,42.0,40.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,56.0,53.0,59.0,59.0,65.0,64.0,69.0,69.0,72.0,72.0,0.0,0.0,64.0,65.0,67.0,-1.0
2024-05-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,4.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,35.0,37.0,34.0,36.0,36.0,39.0,39.0,41.0,38.0,42.0,42.0,0.0,0.0,34.0,34.0,40.0,-1.0
2024-05-15,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,4.0,4.0,7.0,6.0,11.0,25.0,28.0,28.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,24.0,20.0,23.0,23.0,24.0,24.0,23.0,23.0,32.0,33.0,0.0,0.0,25.0,25.0,26.0,-1.0
