date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Diepholz.in,Diepholz.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Freiburg(Breisgau)_Hbf.in,Freiburg(Breisgau)_Hbf.out,Basel_Bad_Bf.in,Basel_Bad_Bf.out
2024-05-30,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-1.0,0.0,0.0
2024-05-29,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,66.0,69.0,-1.0
2024-05-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,47.0,47.0,46.0,-1.0
2024-05-27,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,31.0,31.0,36.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,5.0,-1.0
2024-05-25,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,25.0,25.0,42.0,42.0,41.0,41.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,102.0,102.0,115.0,-1.0
2024-05-24,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,44.0,44.0,39.0,-1.0
2024-05-23,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,27.0,27.0,26.0,-1.0
2024-05-22,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,30.0,30.0,26.0,26.0,15.0,15.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,44.0,44.0,42.0,-1.0
2024-05-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,25.0,25.0,23.0,-1.0
