date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,-1.0,1.0,0.0,0.0,6.0,7.0,3.0,3.0,5.0,8.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-29,-1.0,21.0,11.0,11.0,19.0,20.0,17.0,17.0,16.0,23.0,13.0,13.0,14.0,14.0,12.0,12.0,15.0,14.0,12.0,-1.0
2024-05-28,-1.0,31.0,0.0,0.0,32.0,33.0,30.0,30.0,26.0,27.0,24.0,24.0,24.0,23.0,21.0,21.0,27.0,27.0,24.0,-1.0
2024-05-27,-1.0,22.0,16.0,16.0,24.0,27.0,21.0,21.0,22.0,25.0,19.0,19.0,21.0,21.0,15.0,15.0,29.0,33.0,27.0,-1.0
2024-05-26,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-25,-1.0,4.0,0.0,0.0,4.0,6.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-24,-1.0,19.0,12.0,12.0,18.0,18.0,15.0,15.0,10.0,11.0,8.0,8.0,3.0,3.0,1.0,1.0,5.0,6.0,0.0,-1.0
2024-05-23,-1.0,11.0,0.0,0.0,8.0,9.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,23.0,17.0,17.0,28.0,29.0,25.0,25.0,24.0,31.0,22.0,22.0,32.0,32.0,30.0,30.0,31.0,31.0,28.0,-1.0
2024-05-21,-1.0,10.0,3.0,3.0,10.0,10.0,7.0,7.0,3.0,5.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,6.0,3.0,-1.0
2024-05-20,-1.0,8.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-19,-1.0,32.0,24.0,24.0,30.0,31.0,27.0,27.0,24.0,25.0,22.0,22.0,18.0,18.0,15.0,15.0,19.0,19.0,16.0,-1.0
