date,Aachen_Hbf.in,Aachen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out
2024-05-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,47.0,48.0,47.0,48.0,46.0,47.0,39.0,38.0,0.0,0.0,34.0,0.0
2024-05-29,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,27.0,28.0,28.0,28.0,29.0,29.0,17.0,16.0,0.0,0.0,13.0,0.0
2024-05-28,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,15.0,14.0,12.0,12.0,10.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,13.0,12.0,13.0,14.0,10.0,10.0,4.0,4.0,0.0,0.0,2.0,0.0
2024-05-26,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,18.0,22.0,18.0,20.0,16.0,17.0,4.0,4.0,0.0,0.0,6.0,0.0
2024-05-25,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,15.0,15.0,12.0,12.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,5.0,2.0,0.0,7.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,12.0,10.0,9.0,5.0,9.0,12.0,11.0,0.0,0.0,0.0,0.0,63.0,62.0,67.0,69.0,72.0,73.0,73.0,72.0,0.0,0.0,69.0,0.0
2024-05-22,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,138.0,137.0,0.0,0.0,135.0,0.0
2024-05-21,0.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,5.0,1.0,1.0,3.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,13.0,14.0,17.0,17.0,0.0,0.0,12.0,0.0
2024-05-19,0.0,13.0,7.0,4.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,42.0,44.0,45.0,47.0,71.0,71.0,60.0,59.0,0.0,0.0,53.0,0.0
2024-05-18,0.0,2.0,1.0,2.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,16.0,15.0,13.0,13.0,19.0,19.0,17.0,16.0,0.0,0.0,13.0,0.0
2024-05-17,0.0,9.0,8.0,3.0,11.0,12.0,18.0,19.0,0.0,0.0,0.0,0.0,20.0,19.0,23.0,24.0,29.0,28.0,20.0,20.0,0.0,0.0,15.0,0.0
2024-05-16,0.0,0.0,3.0,2.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,1.0,3.0,1.0,8.0,9.0,12.0,13.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,7.0,17.0,16.0,2.0,2.0,0.0,0.0,1.0,0.0
2024-05-14,0.0,0.0,0.0,8.0,3.0,3.0,7.0,12.0,0.0,0.0,0.0,0.0,12.0,11.0,9.0,9.0,16.0,16.0,13.0,12.0,0.0,0.0,5.0,0.0
2024-05-13,0.0,8.0,8.0,4.0,4.0,26.0,30.0,30.0,0.0,0.0,0.0,0.0,38.0,36.0,33.0,34.0,43.0,43.0,31.0,31.0,0.0,0.0,25.0,0.0
2024-05-12,0.0,7.0,0.0,1.0,0.0,5.0,15.0,16.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,7.0,6.0,10.0,2.0,3.0,0.0,0.0,1.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,12.0,11.0,21.0,31.0,0.0,120.0,0.0,0.0,102.0,0.0
2024-05-08,0.0,12.0,11.0,7.0,5.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,14.0,16.0,16.0,18.0,15.0,16.0,11.0,11.0,0.0,0.0,9.0,0.0
2024-05-07,0.0,1.0,5.0,0.0,2.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,4.0,0.0,0.0,7.0,11.0,16.0,16.0,0.0,0.0,0.0,0.0,12.0,11.0,9.0,9.0,7.0,6.0,2.0,2.0,0.0,0.0,23.0,0.0
2024-05-05,0.0,6.0,9.0,5.0,3.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,0.0,5.0,1.0,3.0,1.0,1.0,7.0,11.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,3.0,4.0,4.0,14.0,14.0,0.0,0.0,11.0,0.0
2024-05-03,0.0,0.0,2.0,1.0,18.0,19.0,21.0,23.0,0.0,0.0,0.0,0.0,18.0,17.0,21.0,22.0,21.0,21.0,30.0,28.0,0.0,0.0,24.0,0.0
2024-05-02,0.0,0.0,0.0,3.0,2.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,7.0,7.0,9.0,9.0,1.0,2.0,0.0,0.0,1.0,0.0
2024-05-01,0.0,0.0,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,8.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,0.0,5.0,0.0,11.0,17.0,17.0,0.0,0.0,0.0,0.0,40.0,63.0,64.0,65.0,68.0,67.0,61.0,0.0,0.0,0.0,58.0,0.0
2024-04-29,0.0,14.0,7.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,44.0,30.0,30.0,0.0,0.0,24.0,0.0
2024-04-28,0.0,13.0,8.0,5.0,5.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,70.0,71.0,70.0,70.0,60.0,59.0,0.0,0.0,52.0,0.0
2024-04-27,0.0,4.0,1.0,3.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,29.0,27.0,25.0,25.0,29.0,30.0,18.0,17.0,0.0,0.0,10.0,0.0
2024-04-26,0.0,0.0,2.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,17.0,16.0,13.0,13.0,0.0,0.0,10.0,0.0
2024-04-25,0.0,1.0,0.0,0.0,0.0,12.0,13.0,13.0,0.0,0.0,0.0,0.0,30.0,29.0,31.0,31.0,26.0,27.0,15.0,15.0,12.0,0.0,0.0,0.0
2024-04-24,0.0,2.0,3.0,1.0,0.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,24.0,23.0,21.0,22.0,21.0,23.0,10.0,10.0,5.0,0.0,0.0,0.0
2024-04-23,0.0,1.0,0.0,0.0,4.0,5.0,11.0,12.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,9.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,21.0,20.0,18.0,18.0,16.0,17.0,10.0,9.0,20.0,0.0,0.0,0.0
2024-04-21,0.0,7.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,11.0,11.0,3.0,3.0,0.0,0.0,15.0,0.0
2024-04-20,0.0,8.0,2.0,1.0,1.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,11.0,10.0,7.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
