date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,40.0,-1.0
2024-05-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,75.0,-1.0
2024-05-27,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,45.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,-1.0
2024-05-25,0.0,20.0,0.0,0.0,0.0,0.0,14.0,14.0,10.0,10.0,60.0,60.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,17.0,61.0,39.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-05-19,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,7.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,1.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,30.0,32.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0
2024-05-11,0.0,5.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,29.0,29.0,29.0,32.0,0.0,0.0,0.0,0.0,56.0,-1.0,3.0,3.0,2.0,2.0
2024-05-04,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,43.0,0.0,0.0,0.0,0.0,66.0,-1.0,21.0,27.0,23.0,1.0
2024-04-27,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,10.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,4.0,1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
2024-04-20,0.0,5.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,13.0,-1.0,1.0,8.0,9.0,1.0
2024-04-13,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0
2024-04-06,0.0,34.0,0.0,0.0,0.0,0.0,55.0,56.0,0.0,0.0,100.0,100.0,101.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,33.0,12.0
