date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,1.0,5.0,6.0,6.0,5.0,31.0,23.0,22.0,22.0,0.0,20.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,0.0,1.0,2.0,1.0,11.0,11.0,7.0,9.0,4.0,6.0,4.0,0.0,4.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,1.0,0.0,14.0,14.0,15.0,13.0,16.0,13.0,11.0,14.0,0.0,13.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,11.0,31.0,38.0,38.0,37.0,38.0,21.0,20.0,25.0,0.0,20.0,0.0
2024-05-17,0.0,14.0,8.0,7.0,15.0,39.0,38.0,38.0,23.0,22.0,23.0,0.0,22.0,0.0
2024-05-12,0.0,3.0,1.0,1.0,20.0,20.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-28,0.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,3.0,0.0
2024-04-26,0.0,2.0,1.0,45.0,43.0,44.0,40.0,40.0,38.0,37.0,41.0,0.0,38.0,0.0
2024-04-21,0.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-19,0.0,2.0,3.0,2.0,3.0,19.0,14.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0
2024-04-14,0.0,3.0,0.0,11.0,73.0,74.0,73.0,72.0,66.0,65.0,65.0,0.0,61.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,4.0,4.0,4.0,0.0,3.0,0.0
2024-04-07,0.0,6.0,12.0,9.0,19.0,21.0,19.0,19.0,14.0,14.0,14.0,0.0,11.0,0.0
2024-04-05,0.0,2.0,1.0,6.0,6.0,8.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0
2024-04-01,0.0,5.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
