date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,2.0,-1.0,3.0,2.0,2.0,2.0,4.0,6.0,6.0,16.0,16.0,10.0,-1.0
2024-05-29,-1.0,1.0,-1.0,2.0,-1.0,4.0,0.0,5.0,5.0,5.0,12.0,12.0,8.0,-1.0
2024-05-28,-1.0,6.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,8.0,1.0,-1.0
2024-05-27,-1.0,1.0,-1.0,5.0,4.0,5.0,5.0,10.0,14.0,15.0,35.0,35.0,35.0,-1.0
2024-05-26,-1.0,5.0,-1.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-05-25,-1.0,-1.0,-1.0,0.0,73.0,73.0,67.0,67.0,69.0,69.0,83.0,82.0,83.0,-1.0
2024-05-24,-1.0,0.0,-1.0,0.0,1.0,2.0,0.0,0.0,10.0,10.0,9.0,9.0,0.0,-1.0
2024-05-23,-1.0,0.0,-1.0,0.0,5.0,6.0,7.0,7.0,10.0,10.0,9.0,9.0,2.0,-1.0
2024-05-22,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,-1.0
2024-05-21,-1.0,2.0,-1.0,0.0,-1.0,0.0,7.0,7.0,7.0,7.0,9.0,8.0,3.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,15.0,13.0,-1.0
2024-05-18,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,-1.0
2024-05-17,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,7.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,1.0,2.0,8.0,9.0,8.0,8.0,42.0,42.0,49.0,-1.0
2024-05-15,-1.0,0.0,-1.0,0.0,7.0,7.0,3.0,4.0,3.0,5.0,2.0,2.0,1.0,-1.0
2024-05-14,-1.0,2.0,-1.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,6.0,6.0,0.0,-1.0
2024-05-13,-1.0,2.0,-1.0,0.0,-1.0,0.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,79.0,79.0,76.0,-1.0
2024-05-11,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,-1.0
2024-05-10,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,20.0,19.0,12.0,-1.0
2024-05-01,-1.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,-1.0
2024-04-30,-1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,-1.0
2024-04-29,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-28,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,8.0,-1.0
2024-04-27,-1.0,3.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,7.0,7.0,3.0,-1.0
2024-04-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,-1.0
2024-04-25,-1.0,0.0,-1.0,0.0,0.0,1.0,6.0,8.0,8.0,8.0,11.0,11.0,13.0,-1.0
2024-04-24,-1.0,0.0,-1.0,0.0,1.0,2.0,4.0,4.0,2.0,2.0,16.0,16.0,18.0,-1.0
2024-04-23,-1.0,5.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-22,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,20.0,20.0,19.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,21.0,-1.0
2024-04-20,-1.0,0.0,-1.0,0.0,4.0,5.0,5.0,5.0,6.0,6.0,3.0,3.0,0.0,-1.0
2024-04-19,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,-1.0
2024-04-16,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
