date,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Ostkreuz.in,Berlin_Ostkreuz.out
2024-05-30,-1.0,7.0,7.0,7.0,18.0,16.0,17.0,15.0,15.0,-1.0,14.0,11.0,11.0,-1.0
2024-05-29,-1.0,1.0,3.0,8.0,2.0,0.0,5.0,5.0,3.0,-1.0,1.0,0.0,0.0,-1.0
2024-05-28,-1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0
2024-05-27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-26,-1.0,1.0,6.0,7.0,26.0,25.0,25.0,26.0,23.0,-1.0,22.0,43.0,21.0,-1.0
2024-05-25,-1.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,-1.0,1.0,1.0,0.0,-1.0
2024-05-24,-1.0,2.0,0.0,13.0,4.0,3.0,3.0,9.0,2.0,-1.0,1.0,1.0,7.0,-1.0
2024-05-23,-1.0,4.0,7.0,8.0,19.0,20.0,19.0,19.0,17.0,-1.0,17.0,15.0,15.0,-1.0
2024-05-22,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-21,-1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0
2024-05-20,-1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,-1.0
2024-05-19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-18,-1.0,4.0,3.0,3.0,11.0,10.0,10.0,10.0,8.0,-1.0,8.0,8.0,8.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.0,-1.0
2024-05-16,-1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
2024-05-15,-1.0,10.0,11.0,27.0,27.0,27.0,27.0,38.0,25.0,-1.0,25.0,25.0,23.0,-1.0
2024-05-14,0.0,0.0,-1.0,1.0,3.0,2.0,4.0,3.0,3.0,-1.0,2.0,0.0,2.0,-1.0
2024-05-13,0.0,0.0,-1.0,1.0,47.0,47.0,47.0,45.0,45.0,-1.0,43.0,42.0,41.0,-1.0
2024-05-12,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
2024-05-11,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
2024-05-10,-1.0,0.0,118.0,119.0,151.0,150.0,153.0,152.0,151.0,-1.0,152.0,141.0,-1.0,-1.0
2024-05-06,-1.0,0.0,12.0,13.0,26.0,26.0,25.0,24.0,24.0,-1.0,23.0,23.0,21.0,-1.0
2024-05-05,-1.0,1.0,6.0,8.0,40.0,40.0,42.0,42.0,42.0,-1.0,46.0,38.0,44.0,-1.0
2024-05-04,-1.0,1.0,1.0,3.0,12.0,11.0,10.0,9.0,9.0,-1.0,9.0,6.0,6.0,-1.0
2024-05-03,-1.0,3.0,5.0,7.0,17.0,16.0,17.0,17.0,17.0,-1.0,17.0,15.0,16.0,-1.0
2024-05-01,-1.0,1.0,3.0,4.0,11.0,10.0,10.0,9.0,9.0,-1.0,8.0,8.0,5.0,-1.0
2024-04-30,-1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,-1.0,0.0,0.0,1.0,-1.0
2024-04-29,-1.0,1.0,7.0,7.0,55.0,54.0,55.0,54.0,53.0,-1.0,56.0,55.0,-1.0,-1.0
2024-04-28,-1.0,1.0,1.0,1.0,11.0,14.0,9.0,8.0,7.0,-1.0,5.0,7.0,3.0,-1.0
2024-04-27,-1.0,1.0,2.0,3.0,3.0,6.0,4.0,4.0,4.0,-1.0,3.0,3.0,0.0,-1.0
2024-04-26,-1.0,-1.0,-1.0,12.0,4.0,3.0,3.0,2.0,2.0,-1.0,1.0,0.0,1.0,-1.0
2024-04-25,-1.0,1.0,0.0,32.0,32.0,31.0,31.0,30.0,30.0,-1.0,39.0,29.0,36.0,-1.0
2024-04-24,-1.0,4.0,2.0,3.0,9.0,10.0,11.0,9.0,10.0,-1.0,9.0,7.0,7.0,-1.0
2024-04-23,-1.0,1.0,3.0,22.0,17.0,17.0,18.0,17.0,17.0,-1.0,17.0,15.0,14.0,-1.0
2024-04-22,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
2024-04-21,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,1.0,1.0,2.0,4.0,5.0,3.0,4.0,1.0,-1.0,3.0,2.0,6.0,-1.0
2024-04-19,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,1.0,4.0,-1.0
2024-04-18,-1.0,2.0,0.0,0.0,43.0,45.0,42.0,43.0,41.0,-1.0,45.0,41.0,43.0,-1.0
2024-04-17,-1.0,1.0,1.0,2.0,-1.0,0.0,9.0,9.0,9.0,-1.0,9.0,7.0,7.0,-1.0
2024-04-16,-1.0,1.0,0.0,0.0,102.0,102.0,103.0,102.0,105.0,-1.0,107.0,105.0,105.0,-1.0
2024-04-15,-1.0,3.0,3.0,4.0,13.0,13.0,12.0,12.0,11.0,-1.0,10.0,11.0,16.0,-1.0
2024-04-14,0.0,0.0,-1.0,0.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,1.0,-1.0
2024-04-13,0.0,0.0,-1.0,0.0,7.0,5.0,5.0,4.0,4.0,-1.0,1.0,0.0,2.0,-1.0
2024-04-12,0.0,0.0,-1.0,0.0,3.0,0.0,2.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0
2024-04-11,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
2024-04-10,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
2024-04-09,-1.0,0.0,0.0,9.0,20.0,19.0,18.0,18.0,16.0,-1.0,16.0,14.0,14.0,-1.0
2024-04-08,-1.0,1.0,10.0,10.0,49.0,60.0,49.0,48.0,47.0,-1.0,47.0,47.0,45.0,-1.0
2024-04-07,-1.0,1.0,0.0,2.0,6.0,6.0,5.0,5.0,4.0,-1.0,3.0,3.0,2.0,-1.0
2024-04-06,-1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,-1.0,1.0,1.0,0.0,-1.0
2024-04-04,-1.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
2024-04-02,-1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0
2024-04-01,-1.0,31.0,40.0,42.0,35.0,34.0,42.0,41.0,41.0,-1.0,44.0,38.0,42.0,-1.0
