date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-29,-1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,6.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,-1.0
2024-05-28,-1.0,1.0,8.0,7.0,9.0,17.0,22.0,20.0,-1.0,-1.0,68.0,71.0,74.0,74.0,69.0,68.0,62.0,63.0,0.0,0.0,0.0,0.0,77.0,77.0,78.0,78.0,0.0,0.0,98.0,98.0,99.0,99.0,105.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,2.0,4.0,8.0,12.0,11.0,13.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,13.0,0.0,0.0,16.0,16.0,17.0,17.0,15.0,-1.0
2024-05-26,-1.0,10.0,7.0,7.0,4.0,3.0,2.0,1.0,4.0,5.0,7.0,14.0,13.0,12.0,8.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,21.0,21.0,0.0,0.0,21.0,20.0,20.0,19.0,25.0,-1.0
2024-05-24,-1.0,2.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,12.0,18.0,18.0,0.0,0.0,19.0,18.0,23.0,23.0,22.0,-1.0
2024-05-23,-1.0,1.0,7.0,6.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,0.0,0.0,8.0,7.0,8.0,8.0,9.0,-1.0
2024-05-22,-1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,13.0,0.0,0.0,16.0,15.0,15.0,15.0,14.0,-1.0
2024-05-21,-1.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,10.0,10.0,10.0,12.0,12.0,10.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16.0,16.0,18.0,18.0,16.0,-1.0
2024-05-20,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,-1.0
2024-05-19,-1.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,7.0,3.0,5.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,20.0,20.0,26.0,26.0,21.0,-1.0
