date,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Unna.in,Unna.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Soest.in,Soest.out,Lippstadt.in,Lippstadt.out,Paderborn_Hbf.in,Paderborn_Hbf.out,Altenbeken.in,Altenbeken.out,Warburg(Westf).in,Warburg(Westf).out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,39.0,38.0,37.0,36.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,9.0,9.0,6.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,15.0,17.0,19.0,19.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,42.0,44.0,45.0,38.0,-1.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,15.0,14.0,50.0,52.0,49.0,48.0,44.0,32.0,34.0,33.0,40.0,-1.0
2024-05-24,-1.0,0.0,4.0,4.0,3.0,3.0,-1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,6.0,10.0,5.0,9.0,9.0,10.0,10.0,12.0,12.0,11.0,11.0,12.0,12.0,21.0,21.0,24.0,24.0,20.0,10.0,9.0,9.0,11.0,-1.0
2024-05-23,-1.0,0.0,0.0,2.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,7.0,8.0,6.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,6.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,17.0,16.0,15.0,10.0,-1.0
2024-05-22,-1.0,2.0,6.0,4.0,0.0,0.0,-1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,5.0,3.0,4.0,3.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,-1.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,1.0,2.0,1.0,2.0,-1.0
2024-05-21,-1.0,0.0,0.0,5.0,3.0,4.0,-1.0,0.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,4.0,3.0,2.0,2.0,6.0,6.0,3.0,1.0,0.0,-1.0,2.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,-1.0
