date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Wiesloch-Walldorf.in,Wiesloch-Walldorf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out
2024-05-30,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-29,-1.0,2.0,0.0,0.0,5.0,5.0,6.0,8.0,10.0,10.0,13.0,-1.0
2024-05-28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-27,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,4.0,4.0,3.0,1.0,1.0,4.0,8.0,16.0,16.0,11.0,-1.0
2024-05-22,-1.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0,15.0,12.0,8.0,-1.0
2024-05-21,-1.0,6.0,0.0,0.0,3.0,3.0,1.0,1.0,6.0,1.0,2.0,-1.0
2024-05-16,-1.0,2.0,29.0,28.0,27.0,27.0,21.0,21.0,30.0,27.0,28.0,-1.0
2024-05-15,-1.0,4.0,-1.0,0.0,1.0,1.0,0.0,0.0,10.0,10.0,2.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,4.0,2.0,-1.0
2024-05-13,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,3.0,-1.0
2024-05-09,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,-1.0
2024-05-07,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,5.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-02,-1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,31.0,31.0,25.0,-1.0
2024-05-01,-1.0,1.0,29.0,28.0,27.0,44.0,40.0,41.0,46.0,46.0,44.0,-1.0
2024-04-30,-1.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,3.0,4.0,-1.0
2024-04-29,-1.0,10.0,0.0,0.0,1.0,2.0,1.0,1.0,9.0,3.0,2.0,-1.0
2024-04-25,-1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,1.0,0.0,-1.0
2024-04-24,-1.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,8.0,8.0,3.0,-1.0
2024-04-23,-1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,-1.0
2024-04-22,-1.0,19.0,-1.0,0.0,1.0,1.0,1.0,2.0,8.0,8.0,3.0,-1.0
2024-04-18,-1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,-1.0
2024-04-17,-1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,18.0,12.0,11.0,-1.0
2024-04-16,-1.0,2.0,0.0,1.0,1.0,3.0,2.0,3.0,9.0,5.0,4.0,-1.0
2024-04-15,-1.0,1.0,-1.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,-1.0
2024-04-11,-1.0,4.0,0.0,0.0,2.0,3.0,4.0,7.0,11.0,6.0,4.0,-1.0
2024-04-10,-1.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,27.0,22.0,19.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,2.0,4.0,4.0,5.0,9.0,9.0,2.0,-1.0
2024-04-08,-1.0,4.0,0.0,0.0,3.0,4.0,8.0,8.0,9.0,9.0,7.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,-1.0
2024-04-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,-1.0
2024-04-02,-1.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,7.0,7.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
