date,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wittenberge.in,Wittenberge.out,Ludwigslust.in,Ludwigslust.out,Büchen.in,Büchen.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,0.0,1.0,0.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,0.0
2024-05-29,0.0,1.0,2.0,5.0,5.0,4.0,7.0,7.0,7.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,6.0,17.0,16.0,17.0,16.0,16.0,0.0
2024-05-28,0.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,1.0,1.0,2.0,6.0,6.0,11.0,11.0,12.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,9.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,14.0,14.0,13.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,8.0,8.0,8.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,0.0
2024-05-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,12.0,13.0,12.0,0.0
2024-05-22,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,6.0,7.0,0.0
2024-05-21,0.0,1.0,1.0,7.0,13.0,13.0,13.0,13.0,14.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,18.0,17.0,24.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,4.0,4.0,0.0
2024-05-17,0.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,5.0,0.0
2024-05-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,5.0,0.0
2024-05-15,0.0,0.0,2.0,2.0,1.0,1.0,2.0,10.0,11.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,0.0
2024-05-14,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,6.0,6.0,0.0
2024-05-13,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,7.0,5.0,0.0
2024-05-12,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,19.0,18.0,19.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,7.0,6.0,0.0
2024-05-10,0.0,0.0,3.0,5.0,4.0,3.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,8.0,7.0,0.0
2024-05-09,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,11.0,11.0,12.0,0.0
2024-05-07,0.0,0.0,2.0,28.0,0.0,0.0,26.0,17.0,18.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,12.0,12.0,15.0,0.0
2024-05-06,0.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,5.0,11.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,6.0,7.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,6.0,0.0
2024-05-03,0.0,9.0,13.0,20.0,0.0,0.0,31.0,22.0,23.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,13.0,14.0,14.0,0.0
2024-05-02,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0
