date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Bingen_Hbf.in,Bingen_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-30,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-05-29,-1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,4.0,9.0,9.0,20.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,6.0,6.0,7.0,-1.0
2024-05-27,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,4.0,11.0,11.0,9.0,8.0,7.0,7.0,9.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,-1.0
2024-05-25,-1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,8.0,9.0,-1.0
2024-05-24,-1.0,2.0,2.0,2.0,0.0,8.0,18.0,18.0,-1.0,0.0,16.0,15.0,0.0,0.0,17.0,17.0,18.0,18.0,19.0,19.0,16.0,15.0,14.0,17.0,18.0,-1.0
2024-05-23,-1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,-1.0
2024-05-22,-1.0,3.0,11.0,9.0,13.0,13.0,14.0,14.0,-1.0,0.0,15.0,14.0,0.0,0.0,19.0,19.0,22.0,22.0,22.0,22.0,19.0,19.0,18.0,19.0,19.0,-1.0
2024-05-21,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,7.0,6.0,6.0,5.0,-1.0
2024-05-20,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,-1.0
2024-05-19,-1.0,1.0,0.0,1.0,7.0,6.0,7.0,9.0,-1.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-18,-1.0,2.0,1.0,1.0,3.0,2.0,6.0,6.0,-1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,7.0,-1.0
2024-05-17,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,4.0,2.0,-1.0
2024-05-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-14,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,-1.0
2024-05-13,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,29.0,27.0,0.0,0.0,0.0,0.0,23.0,21.0,28.0,27.0,30.0,30.0,36.0,-1.0
2024-05-12,-1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,-1.0
2024-05-11,-1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,4.0,4.0,2.0,-1.0
2024-05-09,-1.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0
2024-05-08,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,8.0,6.0,13.0,-1.0
2024-05-07,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,12.0,-1.0
2024-05-06,-1.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,-1.0
2024-05-05,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,9.0,-1.0
2024-05-03,-1.0,2.0,1.0,0.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,1.0,8.0,8.0,7.0,6.0,5.0,3.0,2.0,1.0,6.0,-1.0
2024-05-02,-1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,-1.0
2024-05-01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,8.0,7.0,7.0,6.0,5.0,3.0,3.0,9.0,-1.0
2024-04-28,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,5.0,7.0,7.0,6.0,5.0,7.0,7.0,8.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-04-26,-1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,-1.0
2024-04-25,-1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,19.0,26.0,24.0,27.0,27.0,26.0,25.0,25.0,25.0,30.0,-1.0
2024-04-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-21,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,-1.0
2024-04-19,-1.0,3.0,2.0,0.0,6.0,7.0,12.0,12.0,0.0,0.0,8.0,7.0,0.0,0.0,7.0,6.0,5.0,4.0,11.0,12.0,10.0,10.0,9.0,9.0,10.0,-1.0
2024-04-18,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-1.0
2024-04-17,-1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,8.0,-1.0
2024-04-16,-1.0,2.0,7.0,5.0,6.0,6.0,8.0,8.0,0.0,0.0,3.0,5.0,0.0,0.0,27.0,27.0,28.0,28.0,31.0,32.0,30.0,30.0,51.0,52.0,62.0,-1.0
2024-04-15,-1.0,2.0,6.0,4.0,1.0,2.0,7.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,-1.0
2024-04-14,-1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,-1.0
