date,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Greifswald.in,Greifswald.out,Züssow.in,Züssow.out,Anklam.in,Anklam.out,Pasewalk.in,Pasewalk.out,Prenzlau.in,Prenzlau.out,Angermünde.in,Angermünde.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Eberswalde_Hbf.in,Eberswalde_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Coburg.in,Coburg.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Donauwörth.in,Donauwörth.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,28.0,27.0,27.0,0.0,0.0,0.0,0.0,54.0,56.0,55.0,56.0,53.0,53.0,60.0,59.0,69.0,67.0,68.0,68.0,66.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,27.0,26.0,28.0,0.0,0.0,0.0,0.0,24.0,25.0,20.0,21.0,19.0,19.0,20.0,18.0,26.0,25.0,23.0,23.0,18.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,2.0,4.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,13.0,13.0,11.0,18.0,19.0,15.0,-1.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,11.0,11.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.0,2.0,2.0,10.0,7.0,4.0,2.0,1.0,1.0,0.0,-1.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,1.0,5.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,-1.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,9.0,11.0,11.0,0.0,0.0,0.0,0.0,8.0,7.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,-1.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,14.0,15.0,10.0,10.0,7.0,7.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,-1.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,7.0,7.0,7.0,9.0,8.0,1.0,1.0,2.0,3.0,1.0,-1.0
