date,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Greifswald.in,Greifswald.out,Züssow.in,Züssow.out,Anklam.in,Anklam.out,Pasewalk.in,Pasewalk.out,Prenzlau.in,Prenzlau.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Angermünde.in,Angermünde.out,Eberswalde_Hbf.in,Eberswalde_Hbf.out,Bernau(b_Berlin).in,Bernau(b_Berlin).out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,7.0,7.0,0.0,0.0,7.0,6.0,5.0,4.0,3.0,1.0,0.0,0.0,3.0,11.0,11.0,12.0,36.0,37.0,38.0,30.0,34.0,35.0,34.0,35.0,34.0,33.0,35.0,-1.0
2024-05-29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,8.0,8.0,9.0,9.0,10.0,7.0,9.0,11.0,12.0,11.0,11.0,20.0,20.0,25.0,-1.0
2024-05-27,-1.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,29.0,27.0,29.0,29.0,27.0,27.0,23.0,23.0,23.0,22.0,0.0,0.0,23.0,24.0,23.0,23.0,22.0,19.0,15.0,15.0,13.0,12.0,15.0,15.0,17.0,18.0,16.0,33.0,28.0,29.0,37.0,37.0,39.0,38.0,41.0,-1.0
2024-05-26,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,-1.0,0.0,0.0,4.0,11.0,11.0,11.0,13.0,14.0,16.0,20.0,27.0,28.0,24.0,26.0,34.0,33.0,28.0,-1.0
2024-05-25,-1.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0,0.0,1.0,4.0,5.0,4.0,4.0,6.0,7.0,3.0,15.0,115.0,117.0,122.0,123.0,131.0,130.0,128.0,-1.0
2024-05-24,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,7.0,6.0,0.0,0.0,5.0,5.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,16.0,16.0,17.0,18.0,19.0,16.0,18.0,24.0,25.0,36.0,37.0,37.0,37.0,8.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,4.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,3.0,2.0,3.0,6.0,6.0,7.0,6.0,3.0,4.0,5.0,6.0,5.0,4.0,3.0,-1.0
2024-05-22,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,14.0,12.0,14.0,16.0,16.0,22.0,25.0,31.0,11.0,26.0,26.0,21.0,21.0,20.0,20.0,15.0,-1.0
2024-05-21,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,15.0,16.0,20.0,21.0,20.0,28.0,34.0,35.0,36.0,37.0,40.0,41.0,43.0,-1.0
2024-05-20,-1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,5.0,5.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,8.0,8.0,2.0,1.0,2.0,14.0,14.0,13.0,12.0,15.0,16.0,18.0,18.0,20.0,21.0,6.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0,5.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,8.0,4.0,6.0,6.0,7.0,10.0,18.0,22.0,22.0,18.0,-1.0
