date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Bruchsal.in,Bruchsal.out,Karlsruhe-Durlach.in,Karlsruhe-Durlach.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-05-30,-1.0,0.0,1.0,2.0,8.0,8.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10.0,7.0,6.0,6.0,4.0,5.0,7.0,7.0,15.0,16.0,18.0,19.0,16.0,16.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,-1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,20.0,21.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,28.0,24.0,-1.0,-1.0,49.0,50.0,53.0,53.0,59.0,60.0,-1.0,-1.0,46.0,48.0,46.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,24.0,24.0,26.0,20.0,23.0,23.0,26.0,27.0,23.0,22.0,0.0,0.0,20.0,5.0,6.0,6.0,5.0,4.0,3.0,4.0,4.0,8.0,5.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,11.0,8.0,10.0,10.0,11.0,11.0,12.0,11.0,19.0,20.0,27.0,28.0,67.0,67.0,71.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,-1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,-1.0,0.0,0.0,0.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,6.0,7.0,8.0,15.0,14.0,16.0,17.0,21.0,25.0,40.0,40.0,0.0,0.0,0.0,0.0,42.0,42.0,45.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,44.0,53.0,50.0,51.0,52.0,50.0,51.0,47.0,46.0,43.0,44.0,-1.0,-1.0,27.0,30.0,27.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,3.0,3.0,14.0,15.0,0.0,0.0,0.0,0.0,30.0,30.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,33.0,28.0,28.0,29.0,29.0,29.0,27.0,27.0,32.0,33.0,-1.0,-1.0,16.0,16.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,10.0,10.0,8.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,24.0,25.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,29.0,25.0,30.0,31.0,30.0,30.0,36.0,36.0,39.0,39.0,-1.0,-1.0,22.0,23.0,21.0,16.0,13.0,12.0,7.0,7.0,6.0,-1.0
2024-05-23,-1.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,0.0,0.0,7.0,2.0,4.0,5.0,5.0,5.0,6.0,8.0,11.0,11.0,14.0,14.0,12.0,13.0,33.0,32.0,0.0,0.0,0.0,0.0,42.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,46.0,51.0,48.0,49.0,50.0,51.0,51.0,54.0,53.0,52.0,53.0,-1.0,-1.0,51.0,51.0,49.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,-1.0,0.0,-1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,5.0,4.0,0.0,0.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,5.0,6.0,10.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,9.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,5.0,2.0,2.0,2.0,3.0,4.0,17.0,15.0,28.0,29.0,29.0,29.0,28.0,32.0,34.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,22.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,33.0,29.0,31.0,31.0,28.0,29.0,34.0,32.0,35.0,34.0,37.0,38.0,37.0,38.0,37.0,34.0,33.0,32.0,27.0,27.0,32.0,-1.0
