date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Montabaur.in,Montabaur.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out
2024-05-30,-1.0,12.0,12.0,13.0,11.0,12.0,8.0,9.0,13.0,12.0,12.0,9.0,43.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,42.0,0.0,0.0,47.0,44.0,45.0,45.0,34.0,-1.0
2024-05-29,-1.0,1.0,-1.0,1.0,1.0,10.0,3.0,3.0,7.0,7.0,8.0,4.0,3.0,14.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,0.0,0.0,20.0,20.0,25.0,25.0,15.0,-1.0
2024-05-28,-1.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,39.0,38.0,41.0,37.0,49.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,60.0,0.0,0.0,65.0,62.0,61.0,60.0,66.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,8.0,9.0,6.0,6.0,4.0,6.0,13.0,9.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,20.0,20.0,18.0,17.0,20.0,-1.0
2024-05-26,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,-1.0
2024-05-25,-1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,2.0,-1.0
2024-05-24,-1.0,1.0,1.0,2.0,1.0,1.0,9.0,8.0,3.0,2.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,-1.0
2024-05-23,-1.0,41.0,41.0,42.0,39.0,40.0,40.0,39.0,30.0,37.0,36.0,32.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,30.0,30.0,33.0,33.0,0.0,0.0,0.0,0.0,32.0,32.0,26.0,27.0,30.0,30.0,27.0,28.0,0.0,0.0,33.0,-1.0
2024-05-22,-1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-20,-1.0,3.0,-1.0,4.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,6.0,5.0,1.0,0.0,42.0,41.0,41.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,11.0,-1.0
2024-05-19,-1.0,1.0,-1.0,2.0,0.0,0.0,1.0,2.0,0.0,6.0,4.0,8.0,38.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,46.0,49.0,49.0,48.0,41.0,40.0,39.0,39.0,39.0,0.0,0.0,38.0,39.0,0.0,0.0,46.0,44.0,0.0,0.0,40.0,-1.0
2024-05-18,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,6.0,4.0,4.0,4.0,21.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,71.0,71.0,65.0,63.0,62.0,63.0,63.0,0.0,0.0,65.0,67.0,0.0,0.0,67.0,68.0,0.0,0.0,65.0,-1.0
2024-05-17,-1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,11.0,12.0,11.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,11.0,0.0,0.0,1.0,-1.0
2024-05-16,-1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,14.0,16.0,13.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,23.0,23.0,23.0,15.0,14.0,15.0,15.0,15.0,0.0,0.0,11.0,15.0,0.0,0.0,19.0,20.0,0.0,0.0,14.0,-1.0
2024-05-15,-1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,10.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,2.0,-1.0
2024-05-14,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14.0,42.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.0,57.0,57.0,57.0,57.0,0.0,0.0,0.0,0.0,56.0,56.0,40.0,41.0,0.0,0.0,52.0,52.0,0.0,0.0,55.0,-1.0
2024-05-13,-1.0,21.0,20.0,20.0,17.0,18.0,13.0,15.0,1.0,1.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,26.0,26.0,25.0,19.0,0.0,0.0,0.0,0.0,17.0,16.0,4.0,6.0,0.0,0.0,11.0,13.0,0.0,0.0,19.0,-1.0
2024-05-12,-1.0,12.0,-1.0,13.0,14.0,17.0,15.0,32.0,19.0,18.0,16.0,13.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,31.0,32.0,0.0,0.0,0.0,0.0,32.0,33.0,18.0,20.0,30.0,30.0,24.0,26.0,0.0,0.0,30.0,-1.0
2024-05-11,-1.0,13.0,13.0,13.0,9.0,19.0,15.0,15.0,16.0,17.0,15.0,11.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,9.0,0.0,0.0,11.0,10.0,0.0,0.0,8.0,-1.0
2024-05-09,-1.0,4.0,-1.0,5.0,1.0,1.0,1.0,1.0,-1.0,-1.0,15.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,56.0,57.0,57.0,58.0,53.0,53.0,53.0,0.0,0.0,0.0,0.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,-1.0
2024-05-08,-1.0,3.0,-1.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,7.0,13.0,7.0,0.0,0.0,0.0,0.0,11.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-1.0
2024-05-07,-1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,66.0,66.0,65.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-04,-1.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,1.0,11.0,9.0,9.0,9.0,20.0,0.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,23.0,72.0,74.0,69.0,67.0,66.0,66.0,65.0,0.0,0.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,-1.0
