date,Köln_Hbf.in,Köln_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-29,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,5.0,7.0,6.0,5.0,6.0,9.0,9.0,7.0,7.0,3.0,-1.0
2024-05-28,-1.0,0.0,4.0,5.0,2.0,3.0,1.0,2.0,-1.0,0.0,0.0,1.0,0.0,10.0,20.0,20.0,21.0,21.0,30.0,29.0,28.0,29.0,36.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,5.0,6.0,4.0,3.0,3.0,3.0,2.0,-1.0
2024-05-26,-1.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,10.0,8.0,5.0,5.0,0.0,-1.0
2024-05-25,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,-1.0
2024-05-24,-1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,6.0,8.0,8.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,-1.0
2024-05-23,-1.0,1.0,6.0,6.0,5.0,5.0,3.0,3.0,-1.0,0.0,1.0,1.0,0.0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,-1.0
2024-05-22,-1.0,3.0,7.0,7.0,6.0,6.0,4.0,4.0,-1.0,0.0,1.0,3.0,4.0,10.0,-1.0,-1.0,34.0,36.0,38.0,37.0,39.0,40.0,39.0,-1.0
2024-05-21,-1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,4.0,5.0,2.0,1.0,0.0,0.0,6.0,-1.0
