date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,17.0,-1.0,-1.0,35.0,36.0,36.0,38.0,35.0,35.0,34.0,34.0,32.0,32.0,30.0,-1.0
2024-05-29,-1.0,3.0,2.0,2.0,4.0,5.0,8.0,7.0,21.0,21.0,21.0,21.0,19.0,25.0,26.0,26.0,27.0,26.0,26.0,26.0,24.0,24.0,22.0,-1.0
2024-05-28,-1.0,4.0,4.0,4.0,2.0,37.0,35.0,34.0,52.0,51.0,51.0,51.0,45.0,46.0,56.0,56.0,59.0,59.0,61.0,61.0,59.0,60.0,59.0,-1.0
2024-05-27,-1.0,8.0,8.0,8.0,10.0,8.0,6.0,5.0,19.0,18.0,18.0,18.0,16.0,17.0,18.0,36.0,37.0,37.0,36.0,36.0,33.0,33.0,31.0,-1.0
2024-05-26,-1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,6.0,6.0,9.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,7.0,7.0,7.0,-1.0
2024-05-25,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,4.0,3.0,4.0,7.0,9.0,5.0,5.0,4.0,4.0,1.0,1.0,3.0,-1.0
2024-05-24,-1.0,0.0,0.0,1.0,0.0,0.0,6.0,11.0,11.0,11.0,11.0,11.0,15.0,17.0,18.0,19.0,16.0,17.0,16.0,16.0,13.0,28.0,22.0,-1.0
2024-05-23,-1.0,1.0,2.0,3.0,3.0,7.0,6.0,4.0,2.0,3.0,1.0,2.0,1.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,2.0,3.0,4.0,-1.0
2024-05-22,-1.0,0.0,4.0,3.0,11.0,11.0,8.0,6.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,38.0,36.0,45.0,45.0,48.0,49.0,47.0,47.0,47.0,47.0,44.0,44.0,43.0,42.0,40.0,40.0,40.0,-1.0
2024-05-20,-1.0,0.0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,21.0,19.0,19.0,18.0,18.0,16.0,21.0,20.0,-1.0
2024-05-18,-1.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,6.0,7.0,5.0,6.0,6.0,7.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,-1.0
2024-05-17,-1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,-1.0
2024-05-16,-1.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,-1.0
2024-05-12,-1.0,26.0,25.0,25.0,23.0,24.0,20.0,19.0,29.0,30.0,28.0,29.0,28.0,34.0,33.0,33.0,35.0,34.0,34.0,35.0,32.0,32.0,31.0,-1.0
2024-05-11,-1.0,5.0,4.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,9.0,10.0,10.0,11.0,8.0,8.0,7.0,7.0,4.0,4.0,3.0,-1.0
2024-05-10,-1.0,-1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,7.0,8.0,9.0,5.0,6.0,5.0,5.0,2.0,3.0,0.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,-1.0
