date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Köln_Süd.in,Köln_Süd.out,Bonn_Hbf.in,Bonn_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,0.0,1.0,0.0,0.0,-1.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,-1.0
2024-05-29,-1.0,7.0,0.0,0.0,-1.0,5.0,-1.0,5.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-28,-1.0,5.0,0.0,0.0,-1.0,2.0,-1.0,4.0,2.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,18.0,-1.0
2024-05-27,-1.0,2.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,-1.0
2024-05-26,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,5.0,0.0,2.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-1.0,8.0,8.0,0.0,0.0
2024-05-25,-1.0,1.0,0.0,0.0,-1.0,2.0,-1.0,2.0,0.0,0.0,4.0,6.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,12.0,-1.0
2024-05-24,-1.0,2.0,0.0,0.0,2.0,5.0,5.0,3.0,1.0,2.0,2.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,22.0,-1.0
2024-05-23,-1.0,1.0,0.0,0.0,-1.0,3.0,-1.0,2.0,0.0,20.0,19.0,21.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,11.0,-1.0
2024-05-22,-1.0,37.0,0.0,0.0,75.0,75.0,75.0,84.0,80.0,79.0,83.0,84.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,109.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,8.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,-1.0
2024-05-20,-1.0,4.0,0.0,0.0,4.0,5.0,4.0,3.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,1.0,1.0,0.0,0.0
2024-05-19,-1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,-1.0
2024-05-18,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0,2.0,2.0,3.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,-1.0
2024-05-15,-1.0,16.0,0.0,0.0,9.0,13.0,19.0,20.0,14.0,13.0,20.0,19.0,32.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,33.0,-1.0
2024-05-14,-1.0,1.0,0.0,0.0,-1.0,6.0,9.0,9.0,2.0,1.0,1.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,-1.0
2024-05-13,-1.0,1.0,0.0,0.0,-1.0,2.0,2.0,4.0,1.0,41.0,20.0,21.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,48.0,49.0,-1.0
2024-05-12,-1.0,1.0,0.0,0.0,-1.0,3.0,0.0,1.0,2.0,3.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-1.0,4.0,4.0,0.0,0.0
2024-05-11,-1.0,2.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,-1.0
2024-05-10,-1.0,2.0,0.0,0.0,-1.0,2.0,-1.0,4.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,-1.0
2024-05-09,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
2024-05-08,-1.0,4.0,0.0,0.0,-1.0,2.0,-1.0,3.0,0.0,0.0,2.0,6.0,2.0,2.0,13.0,11.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0
2024-05-07,-1.0,2.0,0.0,0.0,-1.0,4.0,1.0,2.0,0.0,1.0,5.0,4.0,4.0,2.0,7.0,5.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0
2024-05-06,-1.0,6.0,0.0,0.0,5.0,4.0,2.0,4.0,0.0,1.0,1.0,1.0,31.0,32.0,70.0,70.0,107.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,0.0,0.0
2024-05-05,-1.0,10.0,0.0,0.0,9.0,13.0,15.0,15.0,19.0,18.0,12.0,13.0,28.0,30.0,0.0,0.0,39.0,40.0,41.0,40.0,40.0,40.0,37.0,-1.0,36.0,34.0,35.0,35.0
2024-05-04,-1.0,3.0,0.0,0.0,-1.0,2.0,-1.0,1.0,26.0,27.0,35.0,35.0,43.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,59.0,-1.0
2024-05-03,-1.0,4.0,0.0,0.0,-1.0,3.0,1.0,1.0,6.0,6.0,2.0,3.0,11.0,10.0,0.0,0.0,43.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,35.0,34.0
2024-05-02,-1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,9.0,10.0,9.0,12.0,11.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,17.0,17.0
2024-05-01,-1.0,5.0,0.0,0.0,-1.0,5.0,4.0,2.0,0.0,21.0,19.0,20.0,20.0,23.0,0.0,0.0,38.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,37.0,36.0
2024-04-30,-1.0,2.0,0.0,0.0,-1.0,3.0,4.0,5.0,5.0,6.0,7.0,7.0,98.0,97.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,103.0,116.0,-1.0
2024-04-29,-1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,45.0,45.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,59.0,-1.0
2024-04-28,-1.0,2.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,12.0,10.0,9.0,28.0,31.0,0.0,0.0,37.0,37.0,37.0,37.0,34.0,34.0,31.0,-1.0,36.0,36.0,40.0,39.0
2024-04-27,-1.0,10.0,0.0,0.0,9.0,8.0,8.0,6.0,1.0,2.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,9.0
2024-04-26,-1.0,2.0,0.0,0.0,-1.0,5.0,4.0,3.0,0.0,0.0,2.0,3.0,44.0,44.0,0.0,0.0,57.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,54.0,52.0
2024-04-24,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,20.0,19.0
2024-04-23,-1.0,6.0,0.0,0.0,-1.0,4.0,-1.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,0.0,0.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0
2024-04-22,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
2024-04-21,-1.0,13.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,2.0,3.0,3.0,11.0,11.0,0.0,0.0,33.0,33.0,31.0,31.0,27.0,27.0,32.0,-1.0,13.0,14.0,20.0,30.0
2024-04-20,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,2.0
2024-04-19,-1.0,10.0,0.0,0.0,-1.0,6.0,7.0,6.0,0.0,-1.0,5.0,6.0,5.0,5.0,0.0,0.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,13.0,12.0
2024-04-18,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,13.0
2024-04-17,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,14.0,13.0,0.0,0.0,18.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0
2024-04-16,-1.0,0.0,0.0,0.0,-1.0,5.0,4.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2024-04-15,-1.0,5.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,6.0,5.0,6.0,6.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0
2024-04-14,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0,1.0,1.0,0.0,0.0
2024-04-13,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,3.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,60.0,-1.0
2024-04-12,-1.0,4.0,0.0,0.0,-1.0,3.0,-1.0,6.0,0.0,1.0,5.0,6.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,30.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,4.0,3.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,25.0,25.0
2024-04-10,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,3.0,1.0,3.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,11.0,10.0,9.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,10.0,14.0,11.0
2024-04-08,-1.0,10.0,0.0,0.0,0.0,13.0,11.0,10.0,28.0,29.0,28.0,27.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,28.0,29.0,38.0,38.0
2024-04-07,-1.0,14.0,-1.0,6.0,13.0,12.0,4.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-1.0,1.0,2.0,0.0,0.0
2024-04-05,-1.0,30.0,-1.0,0.0,29.0,29.0,2.0,2.0,0.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,21.0,20.0,0.0,0.0,19.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,19.0,19.0
2024-04-03,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,15.0,15.0,0.0,0.0,19.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,21.0,21.0
2024-04-02,-1.0,5.0,0.0,0.0,-1.0,4.0,3.0,5.0,0.0,0.0,3.0,3.0,7.0,7.0,0.0,0.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,10.0
2024-04-01,-1.0,13.0,0.0,0.0,12.0,15.0,12.0,12.0,2.0,1.0,27.0,28.0,5.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,2.0,2.0
