date,Koblenz_Hbf.in,Koblenz_Hbf.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,12.0,12.0,12.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,3.0,4.0,1.0,0.0
2024-05-27,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,31.0,32.0,0.0,0.0,72.0,72.0,71.0,71.0,6.0,7.0,7.0,8.0,0.0,0.0,68.0,70.0,4.0,5.0,2.0,3.0,64.0,0.0
2024-05-26,0.0,3.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,7.0,0.0,0.0,7.0,7.0,31.0,31.0,30.0,30.0,28.0,0.0
2024-05-25,0.0,5.0,4.0,3.0,2.0,2.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,13.0,12.0,12.0,12.0,26.0,25.0,25.0,25.0,0.0,0.0,29.0,30.0,19.0,20.0,25.0,23.0,22.0,0.0
2024-05-24,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,9.0,8.0,13.0,14.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,1.0,6.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,22.0,22.0,13.0,13.0,0.0,0.0,22.0,23.0,16.0,15.0,13.0,12.0,13.0,0.0
2024-05-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,3.0,1.0,0.0
2024-05-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,0.0
2024-05-19,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,15.0,13.0,13.0,12.0,11.0,9.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,32.0,28.0,28.0,26.0,27.0,0.0,0.0,27.0,28.0,22.0,21.0,20.0,19.0,23.0,0.0
2024-05-17,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,11.0,12.0,12.0,12.0,0.0,0.0,12.0,12.0,5.0,5.0,4.0,3.0,2.0,0.0
2024-05-16,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0
2024-05-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,2.0,2.0,14.0,13.0,22.0,22.0,12.0,11.0,0.0,0.0,36.0,35.0,28.0,28.0,8.0,0.0,27.0,0.0
2024-05-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,42.0,30.0,0.0,39.0,39.0,39.0,40.0,46.0,48.0,18.0,19.0,0.0,0.0,47.0,47.0,41.0,41.0,17.0,15.0,48.0,0.0
