date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Bingen_Hbf.in,Bingen_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,1.0,0.0,0.0,1.0,2.0,33.0,33.0,32.0,32.0,-1.0,0.0,29.0,28.0,0.0,0.0,0.0,0.0,29.0,28.0,27.0,27.0,25.0,24.0,25.0,28.0,23.0,22.0,22.0,22.0,0.0,0.0,21.0,20.0,18.0,19.0,12.0,11.0,13.0,10.0,15.0,-1.0
2024-05-29,-1.0,2.0,2.0,1.0,2.0,19.0,31.0,32.0,43.0,42.0,-1.0,0.0,41.0,40.0,0.0,0.0,0.0,0.0,45.0,44.0,45.0,44.0,44.0,44.0,49.0,50.0,53.0,57.0,59.0,60.0,0.0,0.0,3.0,3.0,63.0,62.0,61.0,60.0,0.0,0.0,57.0,-1.0
2024-05-28,-1.0,3.0,3.0,3.0,3.0,3.0,13.0,14.0,14.0,14.0,-1.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,14.0,13.0,13.0,13.0,11.0,12.0,14.0,15.0,17.0,17.0,17.0,17.0,0.0,0.0,22.0,23.0,24.0,23.0,5.0,4.0,1.0,1.0,20.0,-1.0
2024-05-27,-1.0,5.0,6.0,8.0,9.0,9.0,14.0,15.0,16.0,17.0,-1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,17.0,17.0,18.0,18.0,18.0,18.0,20.0,28.0,67.0,66.0,66.0,66.0,0.0,0.0,1.0,1.0,64.0,65.0,13.0,13.0,59.0,57.0,57.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,28.0,28.0,0.0,0.0,26.0,25.0,20.0,20.0,15.0,16.0,12.0,12.0,10.0,-1.0
2024-05-25,-1.0,1.0,0.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,7.0,9.0,15.0,15.0,15.0,16.0,0.0,0.0,10.0,10.0,6.0,7.0,17.0,17.0,3.0,2.0,2.0,-1.0
2024-05-24,-1.0,3.0,4.0,4.0,6.0,7.0,15.0,16.0,14.0,14.0,-1.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,12.0,11.0,11.0,11.0,35.0,35.0,37.0,37.0,43.0,43.0,44.0,44.0,0.0,0.0,56.0,57.0,56.0,59.0,47.0,46.0,50.0,55.0,50.0,-1.0
2024-05-23,-1.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,3.0,3.0,-1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,5.0,7.0,8.0,1.0,1.0,3.0,2.0,0.0,-1.0
2024-05-22,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,-1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,-1.0
2024-05-21,-1.0,3.0,6.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,-1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,7.0,8.0,8.0,12.0,13.0,10.0,9.0,9.0,9.0,0.0,0.0,5.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
