date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Rheine.in,Rheine.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Meppen.in,Meppen.out,Papenburg(Ems).in,Papenburg(Ems).out,Papenburg.in,Papenburg.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out,Emden_Außenhafen.in,Emden_Außenhafen.out
2024-05-30,0.0,3.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,1.0,5.0,9.0,7.0,9.0,7.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-05-28,0.0,1.0,36.0,38.0,37.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,24.0,23.0,23.0,0.0,24.0,23.0,20.0,20.0,18.0,17.0,0.0,0.0,14.0,14.0,12.0,2.0,2.0,0.0
2024-05-27,0.0,1.0,15.0,14.0,13.0,14.0,14.0,14.0,0.0,0.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,16.0,19.0,20.0,20.0,20.0,21.0,21.0,18.0,18.0,18.0,19.0,18.0,18.0,17.0,18.0,20.0,2.0,15.0,0.0
2024-05-26,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,7.0,6.0,10.0,8.0,9.0,8.0,6.0,6.0,4.0,5.0,5.0,4.0,3.0,3.0,1.0,2.0,0.0,0.0
2024-05-25,0.0,0.0,1.0,3.0,7.0,7.0,6.0,5.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-05-24,0.0,0.0,17.0,16.0,17.0,21.0,20.0,20.0,0.0,0.0,26.0,27.0,26.0,26.0,0.0,0.0,53.0,52.0,52.0,52.0,0.0,0.0,52.0,51.0,50.0,51.0,51.0,51.0,51.0,51.0,49.0,50.0,48.0,36.0,34.0,0.0
2024-05-23,0.0,4.0,5.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,17.0,16.0,17.0,16.0,0.0,0.0,16.0,15.0,12.0,12.0,11.0,11.0,0.0,0.0,8.0,9.0,8.0,2.0,4.0,0.0
2024-05-22,0.0,1.0,4.0,2.0,7.0,7.0,7.0,7.0,0.0,0.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,8.0,7.0,7.0,0.0,0.0,8.0,7.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,1.0,1.0,0.0
2024-05-21,0.0,1.0,15.0,13.0,14.0,15.0,14.0,14.0,14.0,14.0,13.0,15.0,16.0,16.0,17.0,17.0,15.0,15.0,17.0,16.0,15.0,15.0,15.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,1.0,0.0,0.0
