date,Norddeich_Mole.in,Norddeich_Mole.out,Norddeich.in,Norddeich.out,Norden.in,Norden.out,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Papenburg(Ems).in,Papenburg(Ems).out,Papenburg.in,Papenburg.out,Meppen.in,Meppen.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Rheine.in,Rheine.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Koblenz_Hbf.in,Koblenz_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,25.0,27.0,25.0,26.0,26.0,26.0,24.0,25.0,24.0,24.0,25.0,24.0,24.0,24.0,20.0,19.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,20.0,20.0,20.0,20.0,19.0,20.0,18.0,27.0,31.0,32.0,36.0,36.0,35.0,35.0,34.0,-1.0,34.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,-1.0
2024-05-28,-1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,7.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,9.0,7.0,7.0,12.0,13.0,26.0,27.0,30.0,30.0,30.0,29.0,29.0,29.0,30.0,-1.0
2024-05-27,-1.0,1.0,0.0,0.0,0.0,12.0,12.0,10.0,8.0,9.0,7.0,8.0,7.0,7.0,5.0,5.0,0.0,0.0,4.0,3.0,5.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,9.0,9.0,8.0,7.0,5.0,5.0,14.0,21.0,24.0,24.0,23.0,23.0,28.0,28.0,30.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,10.0,14.0,15.0,15.0,14.0,13.0,13.0,13.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,6.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,13.0,13.0,-1.0,-1.0,14.0,14.0,12.0,12.0,13.0,13.0,17.0,17.0,21.0,22.0,21.0,21.0,19.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,8.0,7.0,6.0,6.0,8.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,-1.0
