date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,5.0,8.0,8.0,8.0,8.0,11.0,11.0,7.0,7.0,6.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,9.0,9.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,23.0,23.0,17.0,19.0,18.0,3.0,3.0,10.0,9.0,1.0,1.0,3.0,-1.0
2024-05-29,-1.0,1.0,3.0,4.0,3.0,8.0,9.0,10.0,6.0,5.0,6.0,7.0,5.0,6.0,13.0,12.0,14.0,14.0,18.0,18.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,22.0,25.0,39.0,33.0,31.0,32.0,34.0,34.0,32.0,35.0,33.0,33.0,29.0,-1.0
2024-05-28,-1.0,0.0,5.0,6.0,5.0,6.0,7.0,7.0,10.0,10.0,5.0,6.0,3.0,4.0,3.0,2.0,3.0,9.0,9.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,11.0,12.0,16.0,11.0,20.0,55.0,37.0,37.0,33.0,33.0,30.0,29.0,27.0,-1.0
2024-05-26,-1.0,1.0,0.0,5.0,6.0,5.0,9.0,10.0,6.0,6.0,0.0,1.0,0.0,1.0,12.0,11.0,13.0,14.0,15.0,15.0,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,52.0,52.0,53.0,53.0,48.0,50.0,52.0,39.0,39.0,46.0,46.0,44.0,43.0,39.0,-1.0
2024-05-23,-1.0,0.0,3.0,3.0,3.0,3.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,6.0,9.0,10.0,-1.0,-1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,23.0,25.0,24.0,18.0,16.0,15.0,7.0,6.0,5.0,5.0,3.0,2.0,3.0,-1.0
2024-05-22,-1.0,1.0,0.0,-1.0,0.0,0.0,4.0,5.0,5.0,15.0,25.0,26.0,28.0,28.0,43.0,41.0,42.0,43.0,44.0,44.0,45.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,44.0,38.0,41.0,39.0,37.0,42.0,42.0,27.0,28.0,24.0,28.0,25.0,25.0,20.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,3.0,3.0,4.0,7.0,2.0,2.0,0.0,0.0,7.0,8.0,6.0,21.0,22.0,22.0,23.0,23.0,20.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,8.0,8.0,-1.0,0.0,20.0,26.0,38.0,40.0,43.0,37.0,43.0,50.0,36.0,37.0,35.0,36.0,34.0,33.0,32.0,-1.0
2024-05-19,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,3.0,4.0,6.0,0.0,2.0,5.0,10.0,12.0,10.0,12.0,12.0,13.0,14.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,11.0,12.0,13.0,12.0,11.0,10.0,8.0,10.0,7.0,7.0,4.0,3.0,1.0,-1.0
2024-05-17,-1.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,4.0,7.0,8.0,23.0,21.0,23.0,23.0,26.0,26.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,34.0,49.0,50.0,51.0,49.0,59.0,58.0,52.0,53.0,49.0,49.0,46.0,46.0,42.0,-1.0
2024-05-16,-1.0,6.0,3.0,5.0,5.0,6.0,6.0,7.0,2.0,1.0,11.0,11.0,22.0,22.0,22.0,21.0,21.0,19.0,26.0,26.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,34.0,36.0,42.0,34.0,33.0,32.0,19.0,20.0,17.0,18.0,18.0,18.0,14.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,14.0,15.0,12.0,11.0,13.0,14.0,15.0,17.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,19.0,21.0,22.0,17.0,16.0,17.0,7.0,8.0,7.0,7.0,4.0,3.0,0.0,-1.0
2024-05-14,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,9.0,9.0,21.0,21.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,25.0,28.0,28.0,24.0,23.0,22.0,5.0,5.0,1.0,2.0,1.0,1.0,18.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,16.0,10.0,9.0,15.0,40.0,46.0,44.0,56.0,56.0,61.0,62.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,64.0,60.0,62.0,64.0,58.0,58.0,59.0,59.0,61.0,62.0,62.0,59.0,58.0,71.0,-1.0
2024-05-12,-1.0,1.0,0.0,0.0,1.0,2.0,6.0,7.0,3.0,3.0,1.0,2.0,4.0,6.0,3.0,2.0,3.0,5.0,13.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,26.0,21.0,23.0,49.0,48.0,46.0,46.0,35.0,37.0,38.0,37.0,34.0,33.0,30.0,-1.0
