date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,-1.0,24.0,26.0,19.0,17.0,19.0,16.0,13.0,25.0,25.0,31.0,31.0,25.0,25.0,25.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,-1.0,24.0,33.0,25.0,25.0,27.0,24.0,28.0,26.0,27.0,25.0,25.0,21.0,23.0,21.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,1.0,1.0,4.0,1.0,2.0,4.0,5.0,4.0,3.0,0.0,7.0,49.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,-1.0,17.0,23.0,18.0,25.0,26.0,22.0,24.0,29.0,30.0,29.0,28.0,26.0,26.0,28.0,-1.0
2024-05-26,0.0,0.0,0.0,0.0,-1.0,0.0,13.0,5.0,2.0,1.0,0.0,2.0,1.0,4.0,4.0,3.0,0.0,2.0,0.0,-1.0
2024-05-25,0.0,0.0,0.0,0.0,-1.0,1.0,7.0,3.0,0.0,2.0,0.0,4.0,16.0,17.0,21.0,21.0,30.0,30.0,35.0,-1.0
2024-05-24,-1.0,4.0,2.0,3.0,6.0,7.0,5.0,4.0,0.0,2.0,0.0,2.0,3.0,4.0,7.0,8.0,2.0,3.0,9.0,-1.0
2024-05-23,-1.0,11.0,7.0,9.0,9.0,11.0,8.0,9.0,5.0,7.0,7.0,11.0,13.0,14.0,26.0,25.0,20.0,21.0,17.0,-1.0
2024-05-22,-1.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,2.0,4.0,-1.0
2024-05-21,-1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,-1.0
2024-05-20,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-19,-1.0,1.0,0.0,3.0,3.0,5.0,4.0,10.0,3.0,6.0,2.0,7.0,5.0,6.0,3.0,1.0,0.0,1.0,0.0,-1.0
2024-05-17,-1.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,95.0,97.0,94.0,95.0,93.0,93.0,91.0,89.0,88.0,90.0,87.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,-1.0
2024-05-15,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,9.0,7.0,12.0,12.0,12.0,12.0,12.0,5.0,5.0,4.0,-1.0
2024-05-14,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,6.0,12.0,21.0,19.0,19.0,13.0,16.0,21.0,-1.0
2024-05-13,-1.0,1.0,0.0,0.0,6.0,5.0,11.0,10.0,4.0,6.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,-1.0
2024-05-12,-1.0,0.0,0.0,6.0,7.0,9.0,8.0,7.0,1.0,2.0,0.0,3.0,0.0,1.0,5.0,3.0,0.0,1.0,3.0,-1.0
2024-05-11,-1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,6.0,7.0,3.0,2.0,0.0,1.0,0.0,-1.0
2024-05-10,-1.0,12.0,9.0,9.0,9.0,10.0,7.0,7.0,5.0,6.0,3.0,4.0,8.0,10.0,6.0,10.0,2.0,2.0,1.0,-1.0
2024-05-09,-1.0,2.0,1.0,1.0,4.0,6.0,4.0,3.0,0.0,2.0,0.0,1.0,8.0,10.0,11.0,11.0,6.0,7.0,4.0,-1.0
2024-05-08,-1.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,0.0,2.0,0.0,3.0,13.0,14.0,18.0,18.0,15.0,16.0,19.0,-1.0
2024-05-07,-1.0,3.0,3.0,3.0,8.0,10.0,9.0,16.0,26.0,27.0,22.0,24.0,37.0,39.0,38.0,37.0,34.0,34.0,36.0,-1.0
2024-05-06,-1.0,1.0,0.0,2.0,11.0,12.0,12.0,10.0,4.0,5.0,0.0,2.0,17.0,20.0,21.0,20.0,19.0,20.0,19.0,-1.0
2024-05-05,-1.0,2.0,0.0,1.0,4.0,6.0,4.0,3.0,4.0,7.0,5.0,6.0,5.0,6.0,3.0,2.0,0.0,1.0,7.0,-1.0
2024-05-04,-1.0,6.0,4.0,4.0,8.0,9.0,8.0,7.0,4.0,6.0,5.0,6.0,5.0,7.0,4.0,3.0,0.0,1.0,0.0,-1.0
2024-05-03,-1.0,7.0,5.0,6.0,10.0,12.0,10.0,8.0,9.0,10.0,10.0,11.0,9.0,10.0,7.0,7.0,13.0,13.0,9.0,-1.0
2024-05-02,-1.0,16.0,15.0,15.0,19.0,21.0,23.0,22.0,20.0,21.0,23.0,25.0,24.0,24.0,21.0,20.0,15.0,16.0,20.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,15.0,16.0,13.0,12.0,17.0,19.0,6.0,7.0,4.0,5.0,5.0,4.0,4.0,7.0,10.0,-1.0
2024-04-30,-1.0,3.0,2.0,3.0,10.0,31.0,38.0,82.0,91.0,95.0,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
