date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,-1.0,0.0,5.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-24,-1.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-06,-1.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0
2024-05-03,-1.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0
2024-04-29,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,6.0,5.0,-1.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,15.0,22.0,23.0,0.0,0.0,0.0,0.0
2024-04-15,-1.0,4.0,4.0,-1.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,4.0,4.0,-1.0,0.0,0.0,0.0,0.0
2024-04-10,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-08,-1.0,12.0,19.0,20.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
