date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,7.0,7.0,3.0,2.0,6.0,6.0,12.0,13.0,15.0,18.0,11.0,10.0,2.0,0.0,0.0,-1.0
2024-05-29,-1.0,33.0,31.0,32.0,32.0,34.0,0.0,0.0,48.0,46.0,45.0,44.0,0.0,0.0,44.0,46.0,45.0,45.0,46.0,46.0,58.0,59.0,64.0,64.0,63.0,63.0,66.0,65.0,11.0,11.0,5.0,5.0,60.0,60.0,59.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,20.0,51.0,50.0,50.0,53.0,54.0,53.0,53.0,55.0,50.0,50.0,50.0,49.0,49.0,-1.0
2024-05-26,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,66.0,69.0,103.0,103.0,107.0,109.0,111.0,112.0,2.0,2.0,103.0,102.0,107.0,107.0,111.0,-1.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,4.0,6.0,5.0,11.0,12.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,0.0,4.0,-1.0
2024-05-24,-1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,10.0,11.0,16.0,16.0,0.0,0.0,16.0,16.0,15.0,15.0,14.0,14.0,13.0,14.0,15.0,14.0,22.0,22.0,19.0,18.0,3.0,2.0,19.0,18.0,25.0,25.0,25.0,-1.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,2.0,15.0,15.0,16.0,17.0,21.0,21.0,23.0,24.0,88.0,88.0,87.0,87.0,84.0,-1.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,27.0,26.0,40.0,40.0,-1.0,-1.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,3.0,-1.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,5.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-17,-1.0,4.0,7.0,6.0,6.0,7.0,0.0,0.0,10.0,8.0,9.0,7.0,0.0,0.0,7.0,8.0,7.0,8.0,5.0,7.0,9.0,9.0,8.0,7.0,7.0,7.0,5.0,6.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,-1.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,7.0,8.0,22.0,22.0,21.0,22.0,17.0,17.0,18.0,21.0,23.0,21.0,22.0,21.0,24.0,-1.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,9.0,8.0,7.0,8.0,9.0,9.0,30.0,30.0,42.0,36.0,40.0,39.0,32.0,31.0,30.0,-1.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,3.0,19.0,19.0,18.0,17.0,23.0,23.0,17.0,16.0,17.0,16.0,15.0,-1.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11.0,9.0,8.0,10.0,10.0,11.0,12.0,35.0,34.0,31.0,30.0,30.0,29.0,28.0,-1.0
2024-05-12,-1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,-1.0
