date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,-1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,5.0,7.0,8.0,8.0,11.0,-1.0
2024-05-29,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,8.0,8.0,10.0,10.0,16.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,5.0,1.0,1.0,0.0,1.0,6.0,5.0,5.0,5.0,9.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,11.0,0.0,0.0,6.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,25.0,25.0,27.0,27.0,51.0,-1.0
2024-05-23,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,13.0,12.0,11.0,10.0,11.0,27.0,28.0,29.0,28.0,26.0,-1.0
2024-05-22,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,8.0,5.0,4.0,8.0,9.0,2.0,2.0,1.0,1.0,4.0,-1.0
2024-05-21,-1.0,22.0,22.0,20.0,22.0,22.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,17.0,17.0,18.0,18.0,18.0,18.0,19.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,4.0,3.0,1.0,1.0,5.0,5.0,6.0,6.0,4.0,-1.0
2024-05-16,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,8.0,8.0,8.0,8.0,8.0,-1.0
